pool,token,symbol,decimals,local_date,net_raw,transfers
0x034196aee7968d4c85b00b40c4e88ef706577cfa,0x4200000000000000000000000000000000000006,WETH,18,2025-12-20,-2092849834187644452,65
0x034196aee7968d4c85b00b40c4e88ef706577cfa,0x4200000000000000000000000000000000000006,WETH,18,2025-12-21,-1087250588225525994,50
0x034196aee7968d4c85b00b40c4e88ef706577cfa,0x4200000000000000000000000000000000000006,WETH,18,2025-12-22,1349967371760507906,78
0x034196aee7968d4c85b00b40c4e88ef706577cfa,0x4200000000000000000000000000000000000006,WETH,18,2025-12-23,-360236890261782870,38
0x034196aee7968d4c85b00b40c4e88ef706577cfa,0x4200000000000000000000000000000000000006,WETH,18,2025-12-24,-316307924578943529,146
0x034196aee7968d4c85b00b40c4e88ef706577cfa,0x4200000000000000000000000000000000000006,WETH,18,2025-12-25,-1991967131895034601,104
0x034196aee7968d4c85b00b40c4e88ef706577cfa,0x4200000000000000000000000000000000000006,WETH,18,2025-12-26,499836398703260846,61
0x034196aee7968d4c85b00b40c4e88ef706577cfa,0x4200000000000000000000000000000000000006,WETH,18,2025-12-27,2234306954990771331,59
0x034196aee7968d4c85b00b40c4e88ef706577cfa,0x4200000000000000000000000000000000000006,WETH,18,2025-12-28,-605759397479097006,80
0x034196aee7968d4c85b00b40c4e88ef706577cfa,0x4200000000000000000000000000000000000006,WETH,18,2025-12-29,-1990324982641291664,73
0x034196aee7968d4c85b00b40c4e88ef706577cfa,0x4200000000000000000000000000000000000006,WETH,18,2025-12-30,-224532936156568217,24
0x034196aee7968d4c85b00b40c4e88ef706577cfa,0x4200000000000000000000000000000000000006,WETH,18,2025-12-31,-1463360252546086430,72
0x034196aee7968d4c85b00b40c4e88ef706577cfa,0x4200000000000000000000000000000000000006,WETH,18,2026-01-01,3764370771279016720,103
0x034196aee7968d4c85b00b40c4e88ef706577cfa,0x4200000000000000000000000000000000000006,WETH,18,2026-01-02,3551591807983154671,169
0x034196aee7968d4c85b00b40c4e88ef706577cfa,0x4200000000000000000000000000000000000006,WETH,18,2026-01-03,-1706842621880726976,49
0x034196aee7968d4c85b00b40c4e88ef706577cfa,0x4200000000000000000000000000000000000006,WETH,18,2026-01-04,-816266929881758185,57
0x034196aee7968d4c85b00b40c4e88ef706577cfa,0x4200000000000000000000000000000000000006,WETH,18,2026-01-05,6256488312441252912,112
0x034196aee7968d4c85b00b40c4e88ef706577cfa,0x4200000000000000000000000000000000000006,WETH,18,2026-01-06,-2412906233103105750,159
0x034196aee7968d4c85b00b40c4e88ef706577cfa,0x4200000000000000000000000000000000000006,WETH,18,2026-01-07,55366723215329189,73
0x034196aee7968d4c85b00b40c4e88ef706577cfa,0x4200000000000000000000000000000000000006,WETH,18,2026-01-08,373165802896983994,114
0x034196aee7968d4c85b00b40c4e88ef706577cfa,0x4200000000000000000000000000000000000006,WETH,18,2026-01-09,-857635670282622009,258
0x034196aee7968d4c85b00b40c4e88ef706577cfa,0x4200000000000000000000000000000000000006,WETH,18,2026-01-10,178338860450709437,173
0x034196aee7968d4c85b00b40c4e88ef706577cfa,0x4200000000000000000000000000000000000006,WETH,18,2026-01-11,217279520012749636,477
0x034196aee7968d4c85b00b40c4e88ef706577cfa,0x4200000000000000000000000000000000000006,WETH,18,2026-01-12,3455120699219316812,379
0x034196aee7968d4c85b00b40c4e88ef706577cfa,0x4200000000000000000000000000000000000006,WETH,18,2026-01-13,2614478652987121187,333
0x034196aee7968d4c85b00b40c4e88ef706577cfa,0x4200000000000000000000000000000000000006,WETH,18,2026-01-14,-4796621857010090289,219
0x034196aee7968d4c85b00b40c4e88ef706577cfa,0x4200000000000000000000000000000000000006,WETH,18,2026-01-15,-4514767859799011630,138
0x034196aee7968d4c85b00b40c4e88ef706577cfa,0x4200000000000000000000000000000000000006,WETH,18,2026-01-16,758743548404590544,94
0x034196aee7968d4c85b00b40c4e88ef706577cfa,0x4200000000000000000000000000000000000006,WETH,18,2026-01-17,-472553741931274700,69
0x034196aee7968d4c85b00b40c4e88ef706577cfa,0x4200000000000000000000000000000000000006,WETH,18,2026-01-18,-1328297285511478945,171
0x034196aee7968d4c85b00b40c4e88ef706577cfa,0x4200000000000000000000000000000000000006,WETH,18,2026-01-19,1247778207599226407,142
