pool,token,symbol,decimals,local_date,net_raw,transfers
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-03-30,5839304,2
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-03-31,-127626,1
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-04-01,97940824,8
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-04-02,371867084,34
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-04-03,1059756380,22
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-04-04,763216098,32
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-04-05,-1185949759,70
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-04-06,-17973070,49
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-04-07,-398296505,66
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-04-08,-180019221,76
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-04-09,-510572071,21
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-04-10,-188888,7
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-04-11,237408961,7
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-04-12,2469037475,23
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-04-13,-1447600507,30
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-04-14,-517539904,67
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-04-15,-516057399,24
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-04-16,269761644,14
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-04-17,-14876898,32
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-04-18,-127615295,4
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-04-19,463045611,7
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-04-20,-339229262,12
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-04-21,212601560,28
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-04-22,1945746,10
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-04-23,655911835,30
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-04-24,830744420,15
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-04-25,404071649,6
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-04-26,-575977595,24
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-04-27,-503213193,24
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-04-28,374165576,30
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-04-29,909087680,21
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-04-30,-1806980051,38
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-05-01,571982668,46
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-05-02,15757659,1
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-05-03,-326444744,7
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-05-04,1185149319,40
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-05-05,-1403975869,42
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-05-06,1329466690,31
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-05-07,1559248991,7
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-05-08,-3093293432,21
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-05-10,854731001,11
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-05-11,357532348,20
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,AUDD,6,2026-05-12,-646977192,17
