pool,token,symbol,decimals,local_date,net_raw,transfers
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2025-11-27,27642108379,1101
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2025-11-28,-3217153432,1525
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2025-11-29,-8633140624,355
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2025-11-30,-14067137228,952
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2025-12-01,-14413255842,1240
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2025-12-02,-50873994729,1545
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2025-12-03,-2557498173,1530
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2025-12-04,8644829307,1312
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2025-12-05,18542010621,1129
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2025-12-06,585827524,290
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2025-12-07,-17526590868,1153
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2025-12-08,5592856449,1432
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2025-12-09,14140926256,1321
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2025-12-10,-52841657901,1984
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2025-12-11,-33900554447,1318
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2025-12-12,9469620754,1009
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2025-12-13,29571750514,445
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2025-12-14,-39559916353,912
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2025-12-15,-4595683104,1080
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2025-12-16,18460433900,1438
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2025-12-17,-12960707506,970
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2025-12-18,12859817273,1285
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2025-12-19,-1626636410,1099
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2025-12-20,72153040514,497
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2025-12-21,-74534910399,788
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2025-12-22,-9881755446,1144
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2025-12-23,-12620374502,1593
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2025-12-24,13553267142,762
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2025-12-25,-10324527073,848
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2025-12-26,13121481482,785
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2025-12-27,-5289855833,245
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2025-12-28,10580741818,811
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2025-12-29,-7386824485,1155
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2025-12-30,5151004589,1002
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2025-12-31,10278712269,983
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2026-01-01,-15486419525,418
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2026-01-02,22413925825,902
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2026-01-03,2419655223,337
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2026-01-04,4319460428,543
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2026-01-05,-15530034355,962
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2026-01-06,10004065958,991
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2026-01-07,10833886221,883
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2026-01-08,5440348724,892
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2026-01-09,13652289194,897
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2026-01-10,15611990833,156
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2026-01-11,-37993252858,661
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2026-01-12,6685678566,1043
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2026-01-13,6490604806,1069
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2026-01-14,8965762714,1225
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2026-01-15,13853652542,838
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2026-01-16,12017716983,549
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2026-01-17,46058798475,252
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2026-01-18,-78912530309,619
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2026-01-19,-23814106371,657
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2026-01-20,-7503770707,1129
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2026-01-21,14401523932,1420
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,2026-01-22,-28651579983,855
