blockchain,pool,token,symbol,decimals,local_date,net_raw,transfers
ink,0x039fc1099c8f975ab0a0a8f7a68dbf8c18ba03d0,0x73e0c0d45e048d25fc26fa3159b0aa04bfa4db98,kBTC,8,2026-02-15,307470,2
ink,0x039fc1099c8f975ab0a0a8f7a68dbf8c18ba03d0,0x73e0c0d45e048d25fc26fa3159b0aa04bfa4db98,kBTC,8,2026-02-21,-45949,3
ink,0x039fc1099c8f975ab0a0a8f7a68dbf8c18ba03d0,0x73e0c0d45e048d25fc26fa3159b0aa04bfa4db98,kBTC,8,2026-03-01,61414,7
ink,0x039fc1099c8f975ab0a0a8f7a68dbf8c18ba03d0,0x73e0c0d45e048d25fc26fa3159b0aa04bfa4db98,kBTC,8,2026-03-02,-526562,4
ink,0x039fc1099c8f975ab0a0a8f7a68dbf8c18ba03d0,0x73e0c0d45e048d25fc26fa3159b0aa04bfa4db98,kBTC,8,2026-03-04,277880,4
ink,0x039fc1099c8f975ab0a0a8f7a68dbf8c18ba03d0,0x73e0c0d45e048d25fc26fa3159b0aa04bfa4db98,kBTC,8,2026-03-05,291,1
ink,0x039fc1099c8f975ab0a0a8f7a68dbf8c18ba03d0,0x73e0c0d45e048d25fc26fa3159b0aa04bfa4db98,kBTC,8,2026-03-06,-3004,1
ink,0x039fc1099c8f975ab0a0a8f7a68dbf8c18ba03d0,0x73e0c0d45e048d25fc26fa3159b0aa04bfa4db98,kBTC,8,2026-03-12,-33334,1
ink,0x039fc1099c8f975ab0a0a8f7a68dbf8c18ba03d0,0x73e0c0d45e048d25fc26fa3159b0aa04bfa4db98,kBTC,8,2026-03-14,-1759,1
ink,0x039fc1099c8f975ab0a0a8f7a68dbf8c18ba03d0,0x73e0c0d45e048d25fc26fa3159b0aa04bfa4db98,kBTC,8,2026-03-17,-167514,1
ink,0x039fc1099c8f975ab0a0a8f7a68dbf8c18ba03d0,0x73e0c0d45e048d25fc26fa3159b0aa04bfa4db98,kBTC,8,2026-03-19,5523,2
ink,0x039fc1099c8f975ab0a0a8f7a68dbf8c18ba03d0,0x73e0c0d45e048d25fc26fa3159b0aa04bfa4db98,kBTC,8,2026-03-21,1979,1
ink,0x039fc1099c8f975ab0a0a8f7a68dbf8c18ba03d0,0x73e0c0d45e048d25fc26fa3159b0aa04bfa4db98,kBTC,8,2026-03-29,404,1
ink,0x039fc1099c8f975ab0a0a8f7a68dbf8c18ba03d0,0x73e0c0d45e048d25fc26fa3159b0aa04bfa4db98,kBTC,8,2026-03-30,455,1
ink,0x039fc1099c8f975ab0a0a8f7a68dbf8c18ba03d0,0x73e0c0d45e048d25fc26fa3159b0aa04bfa4db98,kBTC,8,2026-03-31,-54872,5
ink,0x039fc1099c8f975ab0a0a8f7a68dbf8c18ba03d0,0x73e0c0d45e048d25fc26fa3159b0aa04bfa4db98,kBTC,8,2026-04-01,93489,2
ink,0x039fc1099c8f975ab0a0a8f7a68dbf8c18ba03d0,0x73e0c0d45e048d25fc26fa3159b0aa04bfa4db98,kBTC,8,2026-04-02,621,1
ink,0x039fc1099c8f975ab0a0a8f7a68dbf8c18ba03d0,0x73e0c0d45e048d25fc26fa3159b0aa04bfa4db98,kBTC,8,2026-04-03,800750,7
ink,0x039fc1099c8f975ab0a0a8f7a68dbf8c18ba03d0,0x73e0c0d45e048d25fc26fa3159b0aa04bfa4db98,kBTC,8,2026-04-05,-13833,1
ink,0x039fc1099c8f975ab0a0a8f7a68dbf8c18ba03d0,0x73e0c0d45e048d25fc26fa3159b0aa04bfa4db98,kBTC,8,2026-04-06,-287937,2
ink,0x039fc1099c8f975ab0a0a8f7a68dbf8c18ba03d0,0x73e0c0d45e048d25fc26fa3159b0aa04bfa4db98,kBTC,8,2026-04-09,3037,2
ink,0x039fc1099c8f975ab0a0a8f7a68dbf8c18ba03d0,0x73e0c0d45e048d25fc26fa3159b0aa04bfa4db98,kBTC,8,2026-04-10,1520,1
ink,0x039fc1099c8f975ab0a0a8f7a68dbf8c18ba03d0,0x73e0c0d45e048d25fc26fa3159b0aa04bfa4db98,kBTC,8,2026-04-11,2046,2
