blockchain,pool,token,symbol,decimals,local_date,net_raw,transfers
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-02-11,3897502613,330
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-02-12,-12324457751,322
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-02-13,4657959526,301
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-02-14,4796093235,609
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-02-15,-543759940,247
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-02-16,9671464918,135
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-02-17,-9065991418,106
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-02-18,-3048538363,156
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-02-19,-4022311981,284
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-02-20,7973969759,267
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-02-21,769966455,307
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-02-22,-6367965363,781
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-02-23,1934336338,250
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-02-24,2890762846,343
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-02-25,21366840429,722
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-02-26,265947269,155
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-02-27,-4532608162,535
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-02-28,-2848854505,416
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-03-01,4838814456,196
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-03-02,-5435392501,189
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-03-03,-1543811603,228
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-03-04,6763158984,303
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-03-05,6836062472,940
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-03-06,-20313090485,346
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-03-07,1742778733,49
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-03-08,1795723314,110
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-03-09,22803832452,448
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-03-10,-6298866689,383
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-03-11,-20648870969,190
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-03-12,23461714563,137
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-03-13,-8239869969,181
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-03-14,5074602483,530
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-03-15,4507859244,514
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-03-16,391622089,497
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-03-17,14886056201,471
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-03-18,-31136326366,1181
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-03-19,-9100295970,244
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-03-20,-14146005966,169
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-03-21,6673231652,238
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-03-22,10966669818,297
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-03-23,-2189130303,366
optimism,0x2fa71491f8070fa644d97b4782db5734854c0f6f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,6,2026-03-24,3385162170,102
