chain,contract,label,token,date,quantity
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-11-16,104.20632494426007
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-11-17,104.20632494426007
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-11-18,1368.9427764705379
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-11-19,1368.9427764705379
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-11-20,1173.1960543014584
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-11-21,1226.7369543409263
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-11-22,1350.0562004864598
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-11-23,1352.2203289086078
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-11-24,1463.5061896978882
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-11-25,1455.432370945951
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-11-26,1470.2892223236988
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-11-27,1462.1151938733078
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-11-28,1466.0932997389982
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-11-29,1470.5792825493388
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-11-30,1475.139125994981
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-12-01,1491.355662302036
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-12-02,1484.8306550920252
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-12-03,1467.0264562209218
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-12-04,1460.8353782187235
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-12-05,1478.4470366607952
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-12-06,1460.8716798878283
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-12-07,1466.6550823177743
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-12-08,1461.052080916661
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-12-09,1431.7670823929725
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-12-10,1438.4563275636299
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-12-11,1457.4761824044272
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-12-12,1486.0830889196063
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-12-13,1470.820698456752
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-12-14,1482.5586971869272
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-12-15,2003.9327431403506
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-12-16,2007.6448163015534
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-12-17,2058.3208686065104
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-12-18,2074.4006962119706
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-12-19,2047.4366710270435
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-12-20,2051.4914352918845
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-12-21,2058.097415723311
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-12-22,2061.4944608905494
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-12-23,2065.170518440288
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-12-24,2083.0788426883582
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-12-25,2098.561958576871
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-12-26,2084.611757885123
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-12-27,2075.094704612296
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-12-28,2081.1699105943435
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-12-29,2091.558238004982
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-12-30,1957.395300238468
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2025-12-31,1954.547760170824
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2026-01-01,1937.3552523023836
OP Mainnet,0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,2026-01-02,1884.3794009909484
