chain,contract,label,token,date,quantity
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-11-12,781592.042255
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-11-13,790580.132908
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-11-14,989768.152371
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-11-15,1511514.335697
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-11-16,1512331.148281
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-11-17,1514741.430098
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-11-18,1605030.934259
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-11-19,1639079.978318
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-11-20,1639079.922417
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-11-21,1702404.14511
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-11-22,1702721.000988
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-11-23,1683104.88654
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-11-24,1695528.025926
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-11-25,2095477.801227
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-11-26,2096832.083284
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-11-27,2100221.671444
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-11-28,2505808.818321
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-11-29,2506527.130688
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-11-30,2558419.331056
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-12-01,2488173.852144
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-12-02,2491080.406066
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-12-03,2378646.367362
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-12-04,2378673.068782
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-12-05,2378284.09493
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-12-06,2379557.937803
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-12-07,2375089.74295
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-12-08,2375173.220848
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-12-09,2375471.022079
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-12-10,2365281.698307
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-12-11,2366400.628485
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-12-12,2366335.909256
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-12-13,2367185.66767
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-12-14,2367593.990865
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-12-15,2368252.547846
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-12-16,2368251.92484
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-12-17,2379327.911396
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-12-18,2380963.006706
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-12-19,2386288.401024
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-12-20,2386339.162359
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-12-21,2386112.841472
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-12-22,2387602.518348
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-12-23,2381563.417203
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-12-24,2381263.226521
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-12-25,2384649.397703
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-12-26,2385561.835592
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-12-27,2415183.230787
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-12-28,2415184.306741
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-12-29,2415653.812365
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-12-30,2416136.515501
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2025-12-31,2413247.340362
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-01-01,2408754.290115
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-01-02,2381752.476326
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-01-03,2380753.118584
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-01-04,2393282.377775
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-01-05,2230022.476574
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-01-06,2240407.520876
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-01-07,2242057.448184
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-01-08,2248072.125317
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-01-09,2241588.747496
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-01-10,2242188.249228
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-01-11,2306179.94757
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-01-12,2306894.137151
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-01-13,2315456.122938
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-01-14,2339282.489121
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-01-15,2351854.129455
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-01-16,2352339.825317
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-01-17,2352365.020345
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-01-18,2352889.961402
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-01-19,2353044.453234
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-01-20,2353426.823692
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-01-21,2350777.658756
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-01-22,2351422.932483
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-01-23,2341268.034127
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-01-24,2341336.217982
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-01-25,2329731.016849
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-01-26,2330194.036569
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-01-27,2330254.013559
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-01-28,2330815.66691
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-01-29,2331236.725399
