contract,pool,token,address,type,chain,checkpoint,date,quantity,nfts
0xf132bd888897254521d13e2c401e109caaba06a7,veVELO,VELO,0x9560e827af36c94d2ac33a39bce1fe78631088db,loan,OP Mainnet,start,2025-10-15,90872908.11655071,235.0
0xf132bd888897254521d13e2c401e109caaba06a7,veVELO,VELO,0x9560e827af36c94d2ac33a39bce1fe78631088db,loan,OP Mainnet,snapshot,2025-11-11,89759633.23504305,271.0
0xf132bd888897254521d13e2c401e109caaba06a7,veVELO,VELO,0x9560e827af36c94d2ac33a39bce1fe78631088db,loan,OP Mainnet,end,2026-01-27,107904662.18001746,389.0
0xf132bd888897254521d13e2c401e109caaba06a7,veVELO,VELO,0x9560e827af36c94d2ac33a39bce1fe78631088db,loan,OP Mainnet,plus30d,2026-02-26,108841162.32629631,393.0
0x08dcdbf7bade91ccd42cb2a4ea8e5d199d285957,USDC,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,vault,OP Mainnet,start,2025-10-15,1186483.950855,
0x08dcdbf7bade91ccd42cb2a4ea8e5d199d285957,USDC,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,vault,OP Mainnet,snapshot,2025-11-11,1272747.150137,
0x08dcdbf7bade91ccd42cb2a4ea8e5d199d285957,USDC,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,vault,OP Mainnet,end,2026-01-27,1294164.928364,
0x08dcdbf7bade91ccd42cb2a4ea8e5d199d285957,USDC,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,vault,OP Mainnet,plus30d,2026-02-26,1027056.735155,
0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,0x940181a94a35a4569e4529a3cdfb74e38fd98631,loan,Base,start,2025-10-15,28779857.286170114,624.0
0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,0x940181a94a35a4569e4529a3cdfb74e38fd98631,loan,Base,snapshot,2025-11-11,27369520.39376,736.0
0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,0x940181a94a35a4569e4529a3cdfb74e38fd98631,loan,Base,end,2026-01-27,40032558.96766953,1009.0
0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,0x940181a94a35a4569e4529a3cdfb74e38fd98631,loan,Base,plus30d,2026-02-26,47014122.622821,1122.0
0xb99b6df96d4d5448cc0a5b3e0ef7896df9507cf5,USDC,USDC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,vault,Base,start,2025-10-15,9971879.807273,
0xb99b6df96d4d5448cc0a5b3e0ef7896df9507cf5,USDC,USDC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,vault,Base,snapshot,2025-11-11,9514612.508786,
0xb99b6df96d4d5448cc0a5b3e0ef7896df9507cf5,USDC,USDC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,vault,Base,end,2026-01-27,11228424.878528,
0xb99b6df96d4d5448cc0a5b3e0ef7896df9507cf5,USDC,USDC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,vault,Base,plus30d,2026-02-26,11289283.067285,
