Date,ΔTVL (USD),in_window
2025-10-15,0,True
2025-10-16,-686633,True
2025-10-17,832721,True
2025-10-18,611521,True
2025-10-19,1028000,True
2025-10-20,1265767,True
2025-10-21,1313708,True
2025-10-22,1428746,True
2025-10-23,2492724,True
2025-10-24,2523185,True
2025-10-25,2555839,True
2025-10-26,1161799,True
2025-10-27,626366,True
2025-10-28,295726,True
2025-10-29,904044,True
2025-10-30,946211,True
2025-10-31,1108235,True
2025-11-01,1448042,True
2025-11-02,484392,True
2025-11-03,1232753,True
2025-11-04,958505,True
2025-11-05,-438763,True
2025-11-06,-219129,True
2025-11-07,-674022,True
2025-11-08,-848339,True
2025-11-09,-1170984,True
2025-11-10,-932585,True
2025-11-11,-1027019,True
2025-11-12,-1126661,True
2025-11-13,-1652539,True
2025-11-14,-513044,True
2025-11-15,376009,True
2025-11-16,676231,True
2025-11-17,678086,True
2025-11-18,-166807,True
2025-11-19,508235,True
2025-11-20,707186,True
2025-11-21,-295846,True
2025-11-22,-150281,True
2025-11-23,-29600,True
2025-11-24,176506,True
2025-11-25,403754,True
2025-11-26,1231975,True
2025-11-27,983631,True
2025-11-28,626121,True
2025-11-29,555597,True
2025-11-30,-380119,True
2025-12-01,-118248,True
2025-12-02,1068636,True
2025-12-03,562442,True
2025-12-04,1583500,True
2025-12-05,1728365,True
2025-12-06,1943577,True
2025-12-07,1840991,True
2025-12-08,1749390,True
2025-12-09,1380400,True
2025-12-10,1365857,True
2025-12-11,1807935,True
2025-12-12,2219981,True
2025-12-13,2231976,True
2025-12-14,2170725,True
2025-12-15,903094,True
2025-12-16,786472,True
2025-12-17,566869,True
2025-12-18,1420982,True
2025-12-19,1603323,True
2025-12-20,1708388,True
2025-12-21,1402204,True
2025-12-22,1531953,True
2025-12-23,1575752,True
2025-12-24,1260342,True
2025-12-25,1503341,True
2025-12-26,1492087,True
2025-12-27,2170107,True
2025-12-28,2093708,True
2025-12-29,2086788,True
2025-12-30,1910963,True
2025-12-31,1196142,True
2026-01-01,776888,True
2026-01-02,703768,True
2026-01-03,555415,True
2026-01-04,1235708,True
2026-01-05,964492,True
2026-01-06,912342,True
2026-01-07,999244,True
2026-01-08,1882401,True
2026-01-09,1850709,True
2026-01-10,1919939,True
2026-01-11,1836702,True
2026-01-12,1671072,True
2026-01-13,1962443,True
2026-01-14,1919397,True
2026-01-15,1379971,True
2026-01-16,3234005,True
2026-01-17,3266367,True
2026-01-18,2455081,True
2026-01-19,2514290,True
2026-01-20,2765891,True
2026-01-21,3288248,True
2026-01-22,5929600,True
2026-01-23,5799880,True
2026-01-24,6390426,True
2026-01-25,7150411,True
2026-01-26,7032734,True
2026-01-27,6757791,True
2026-01-28,6668392,False
2026-01-29,6095925,False
2026-01-30,6479077,False
2026-01-31,7251773,False
2026-02-01,7082123,False
2026-02-02,6875808,False
2026-02-03,6526156,False
2026-02-04,6676936,False
2026-02-05,6746677,False
2026-02-06,6496742,False
2026-02-07,6990855,False
2026-02-08,6955272,False
2026-02-09,6813867,False
2026-02-10,6401660,False
2026-02-11,6361704,False
2026-02-12,6563262,False
2026-02-13,7054621,False
2026-02-14,7066021,False
2026-02-15,7719296,False
2026-02-16,8869140,False
2026-02-17,8828793,False
2026-02-18,8828244,False
2026-02-19,9298788,False
2026-02-20,9388567,False
2026-02-21,9397697,False
2026-02-22,9548267,False
2026-02-23,9598521,False
2026-02-24,10011142,False
2026-02-25,9491240,False
2026-02-26,9710628,False
