contract,pool,token,address,type,chain,checkpoint,date,quantity
0x638ef78599c404a90545c6cfb460efcff8a019f7,wstETH/WETH,WETH,0x4200000000000000000000000000000000000006,lend,OP Mainnet,start,2026-04-17,0.0
0x638ef78599c404a90545c6cfb460efcff8a019f7,wstETH/WETH,WETH,0x4200000000000000000000000000000000000006,lend,OP Mainnet,snapshot,2026-06-23,405.8988876624706
0x638ef78599c404a90545c6cfb460efcff8a019f7,wstETH/WETH,WETH,0x4200000000000000000000000000000000000006,lend,OP Mainnet,end,2026-09-15,28.759609500309185
0xff9a3085ed83da377a94e32dd4745bb57411ea24,WBTC/USDC,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,lend,OP Mainnet,start,2026-04-17,0.0
0xff9a3085ed83da377a94e32dd4745bb57411ea24,WBTC/USDC,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,lend,OP Mainnet,snapshot,2026-06-23,650471.645225
0xff9a3085ed83da377a94e32dd4745bb57411ea24,WBTC/USDC,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,lend,OP Mainnet,end,2026-09-15,196149.499299
0xab504518c7b83ed6c67718877c4ffc2b52b29436,wstETH/USDC,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,lend,OP Mainnet,start,2026-04-17,0.0
0xab504518c7b83ed6c67718877c4ffc2b52b29436,wstETH/USDC,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,lend,OP Mainnet,snapshot,2026-06-23,772765.44732
0xab504518c7b83ed6c67718877c4ffc2b52b29436,wstETH/USDC,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,lend,OP Mainnet,end,2026-09-15,196769.12094
0xd8dd9a8b2aca88e68c46af9008259d0ec04b7751,crvUSD/OP tricrypto,CRVUSD,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,pool,OP Mainnet,start,2026-04-17,61333.56633462468
0xd8dd9a8b2aca88e68c46af9008259d0ec04b7751,crvUSD/OP tricrypto,OP,0x4200000000000000000000000000000000000042,pool,OP Mainnet,start,2026-04-17,459777.08628968004
0xd8dd9a8b2aca88e68c46af9008259d0ec04b7751,crvUSD/OP tricrypto,CRV,0x0994206dfe8de6ec6920ff4d779b0d950605fb53,pool,OP Mainnet,start,2026-04-17,255825.28105148763
0xd8dd9a8b2aca88e68c46af9008259d0ec04b7751,crvUSD/OP tricrypto,CRVUSD,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,pool,OP Mainnet,snapshot,2026-06-23,51554.28109947867
0xd8dd9a8b2aca88e68c46af9008259d0ec04b7751,crvUSD/OP tricrypto,OP,0x4200000000000000000000000000000000000042,pool,OP Mainnet,snapshot,2026-06-23,506740.9911854603
0xd8dd9a8b2aca88e68c46af9008259d0ec04b7751,crvUSD/OP tricrypto,CRV,0x0994206dfe8de6ec6920ff4d779b0d950605fb53,pool,OP Mainnet,snapshot,2026-06-23,259018.33150209748
0xd8dd9a8b2aca88e68c46af9008259d0ec04b7751,crvUSD/OP tricrypto,CRVUSD,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,pool,OP Mainnet,end,2026-09-15,62137.84039837534
0xd8dd9a8b2aca88e68c46af9008259d0ec04b7751,crvUSD/OP tricrypto,OP,0x4200000000000000000000000000000000000042,pool,OP Mainnet,end,2026-09-15,670238.9279515196
0xd8dd9a8b2aca88e68c46af9008259d0ec04b7751,crvUSD/OP tricrypto,CRV,0x0994206dfe8de6ec6920ff4d779b0d950605fb53,pool,OP Mainnet,end,2026-09-15,198700.81994967553
0x4456d13fc6736e8e8330394c0c622103e06ea419,crvUSD/WBTC tricrypto,CRVUSD,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,pool,OP Mainnet,start,2026-04-17,9305.113362978018
0x4456d13fc6736e8e8330394c0c622103e06ea419,crvUSD/WBTC tricrypto,WBTC,0x68f180fcce6836688e9084f035309e29bf0a2095,pool,OP Mainnet,start,2026-04-17,0.11983133
0x4456d13fc6736e8e8330394c0c622103e06ea419,crvUSD/WBTC tricrypto,WETH,0x4200000000000000000000000000000000000006,pool,OP Mainnet,start,2026-04-17,3.8075842712587757
0x4456d13fc6736e8e8330394c0c622103e06ea419,crvUSD/WBTC tricrypto,CRVUSD,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,pool,OP Mainnet,snapshot,2026-06-23,7595.394550223802
0x4456d13fc6736e8e8330394c0c622103e06ea419,crvUSD/WBTC tricrypto,WBTC,0x68f180fcce6836688e9084f035309e29bf0a2095,pool,OP Mainnet,snapshot,2026-06-23,0.1224177
0x4456d13fc6736e8e8330394c0c622103e06ea419,crvUSD/WBTC tricrypto,WETH,0x4200000000000000000000000000000000000006,pool,OP Mainnet,snapshot,2026-06-23,4.612524731480246
0x4456d13fc6736e8e8330394c0c622103e06ea419,crvUSD/WBTC tricrypto,CRVUSD,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,pool,OP Mainnet,end,2026-09-15,9142.0976052217
0x4456d13fc6736e8e8330394c0c622103e06ea419,crvUSD/WBTC tricrypto,WBTC,0x68f180fcce6836688e9084f035309e29bf0a2095,pool,OP Mainnet,end,2026-09-15,0.12165753
0x4456d13fc6736e8e8330394c0c622103e06ea419,crvUSD/WBTC tricrypto,WETH,0x4200000000000000000000000000000000000006,pool,OP Mainnet,end,2026-09-15,3.86142918060129
0x00d09cccda09bb97132293c571ead11630d57a71,crvUSD/scrvUSD stable-ng,CRVUSD,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,pool,OP Mainnet,start,2026-04-17,12415.029287186613
0x00d09cccda09bb97132293c571ead11630d57a71,crvUSD/scrvUSD stable-ng,SCRVUSD,0x289f635106d5b822a505b39ac237a0ae9189335b,pool,OP Mainnet,start,2026-04-17,16685.220153725713
0x00d09cccda09bb97132293c571ead11630d57a71,crvUSD/scrvUSD stable-ng,CRVUSD,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,pool,OP Mainnet,snapshot,2026-06-23,8227.04157156235
0x00d09cccda09bb97132293c571ead11630d57a71,crvUSD/scrvUSD stable-ng,SCRVUSD,0x289f635106d5b822a505b39ac237a0ae9189335b,pool,OP Mainnet,snapshot,2026-06-23,11169.506421058897
