Date,ΔTVL (USD),in_window
2026-04-17,0,True
2026-04-18,625,True
2026-04-19,662,True
2026-04-20,-27,True
2026-04-21,-261,True
2026-04-22,438,True
2026-04-23,642,True
2026-04-24,863,True
2026-04-25,938,True
2026-04-26,792,True
2026-04-27,318,True
2026-04-28,199,True
2026-04-29,345,True
2026-04-30,-60,True
2026-05-01,142,True
2026-05-02,144,True
2026-05-03,-454,True
2026-05-04,-384,True
2026-05-05,-476,True
2026-05-06,815,True
2026-05-07,1226,True
2026-05-08,2058,True
2026-05-09,1792,True
2026-05-10,1036,True
2026-05-11,-1112,True
2026-05-12,-1229,True
2026-05-13,-1068,True
2026-05-14,-1254,True
2026-05-15,-575,True
2026-05-16,193,True
2026-05-17,560,True
2026-05-18,165,True
2026-05-19,116,True
2026-05-20,256,True
2026-05-21,150,True
2026-05-22,755,True
2026-05-23,530,True
2026-05-24,-9443,True
2026-05-25,-8378,True
2026-05-26,-8358,True
2026-05-27,-8135,True
2026-05-28,-8190,True
2026-05-29,-8520,True
2026-05-30,-8344,True
2026-05-31,-8522,True
2026-06-01,-7724,True
2026-06-02,-6749,True
2026-06-03,-6500,True
2026-06-04,-5069,True
2026-06-05,-4684,True
2026-06-06,-6150,True
2026-06-07,-7090,True
2026-06-08,-7312,True
2026-06-09,-12020,True
2026-06-10,-14461,True
2026-06-11,-15025,True
2026-06-12,-14428,True
2026-06-13,-14122,True
2026-06-14,-15612,True
2026-06-15,-16054,True
2026-06-16,-15654,True
2026-06-17,94993,True
2026-06-18,1509537,True
2026-06-19,2042562,True
2026-06-20,2226179,True
2026-06-21,2268975,True
2026-06-22,2457200,True
2026-06-23,2431392,True
2026-06-24,2967702,True
2026-06-25,2964197,True
2026-06-26,3366686,True
2026-06-27,3562009,True
2026-06-28,3558131,True
2026-06-29,3513974,True
2026-06-30,3716970,True
2026-07-01,3571354,True
2026-07-02,3571275,True
2026-07-03,3722436,True
2026-07-04,3723287,True
2026-07-05,3724497,True
2026-07-06,3724861,True
2026-07-07,3777080,True
2026-07-08,2972650,True
2026-07-09,3072943,True
2026-07-10,3063141,True
2026-07-11,3074058,True
2026-07-12,3122506,True
2026-07-13,2949025,True
2026-07-14,3129817,True
2026-07-15,3145982,True
2026-07-16,2891926,True
2026-07-17,2889817,True
2026-07-18,2860158,True
2026-07-19,2866107,True
2026-07-20,2586747,True
2026-07-21,2654446,True
2026-07-22,2747382,True
2026-07-23,2739488,True
2026-07-24,2722156,True
2026-07-25,2724006,True
2026-07-26,2709809,True
2026-07-27,2708465,True
2026-07-28,2699717,True
2026-07-29,2689947,True
2026-07-30,2704952,True
2026-07-31,2625675,True
2026-08-01,2404804,True
2026-08-02,2394317,True
2026-08-03,2342331,True
2026-08-04,2161852,True
2026-08-05,2027101,True
2026-08-06,1974546,True
2026-08-07,1958677,True
2026-08-08,1869257,True
2026-08-09,1732416,True
2026-08-10,1361895,True
2026-08-11,1373506,True
2026-08-12,1436740,True
2026-08-13,1436476,True
2026-08-14,1409384,True
2026-08-15,1408022,True
2026-08-16,1409253,True
2026-08-17,1368903,True
2026-08-18,1342981,True
2026-08-19,1310495,True
2026-08-20,1300367,True
2026-08-21,1242869,True
2026-08-22,1296813,True
2026-08-23,1275068,True
2026-08-24,1275757,True
2026-08-25,1224934,True
2026-08-26,1225897,True
2026-08-27,1229473,True
2026-08-28,1196534,True
2026-08-29,1196307,True
2026-08-30,1202350,True
2026-08-31,1181319,True
2026-09-01,1150930,True
2026-09-02,1094467,True
2026-09-03,1056009,True
2026-09-04,740374,True
2026-09-05,688869,True
2026-09-06,576492,True
2026-09-07,576616,True
2026-09-08,500732,True
2026-09-09,483211,True
2026-09-10,456601,True
2026-09-11,458558,True
2026-09-12,458580,True
2026-09-13,448095,True
2026-09-14,443608,True
2026-09-15,442797,True
