contract,pool,token,type,chain,quantity_start,quantity_end,price_end,delta_tvl_usd
0x638ef78599c404a90545c6cfb460efcff8a019f7,wstETH/WETH,WETH,lend,OP Mainnet,0.0,28.76,2514.5059,72316.21
0xff9a3085ed83da377a94e32dd4745bb57411ea24,WBTC/USDC,USDC,lend,OP Mainnet,0.0,196149.5,0.999732,196096.94
0xab504518c7b83ed6c67718877c4ffc2b52b29436,wstETH/USDC,USDC,lend,OP Mainnet,0.0,196769.12,0.999732,196716.4
0xd8dd9a8b2aca88e68c46af9008259d0ec04b7751,crvUSD/OP tricrypto,CRVUSD,pool,OP Mainnet,61333.57,62137.84,0.999667,804.01
0xd8dd9a8b2aca88e68c46af9008259d0ec04b7751,crvUSD/OP tricrypto,OP,pool,OP Mainnet,459777.09,670238.93,0.133333,28061.58
0xd8dd9a8b2aca88e68c46af9008259d0ec04b7751,crvUSD/OP tricrypto,CRV,pool,OP Mainnet,255825.28,198700.82,0.363636,-20772.53
0x4456d13fc6736e8e8330394c0c622103e06ea419,crvUSD/WBTC tricrypto,CRVUSD,pool,OP Mainnet,9305.11,9142.1,0.999667,-162.96
0x4456d13fc6736e8e8330394c0c622103e06ea419,crvUSD/WBTC tricrypto,WBTC,pool,OP Mainnet,0.12,0.12,90034.5,164.42
0x4456d13fc6736e8e8330394c0c622103e06ea419,crvUSD/WBTC tricrypto,WETH,pool,OP Mainnet,3.81,3.86,2514.5059,135.39
0x00d09cccda09bb97132293c571ead11630d57a71,crvUSD/scrvUSD stable-ng,CRVUSD,pool,OP Mainnet,12415.03,128.68,0.999667,-12282.26
0x00d09cccda09bb97132293c571ead11630d57a71,crvUSD/scrvUSD stable-ng,SCRVUSD,pool,OP Mainnet,16685.22,175.22,1.107202,-18279.92
