contract,pool,token,address,type,chain,checkpoint,date,quantity
0x951092b1ed953d0879e3840489be6fbfc4ad363d,weETH,WEETH,0x04c0599ae5a44757c0af6f9ec3b93da8976c150a,lend,Base,start,2025-11-27,44.44540361341133
0x951092b1ed953d0879e3840489be6fbfc4ad363d,weETH,WEETH,0x04c0599ae5a44757c0af6f9ec3b93da8976c150a,lend,Base,snapshot,2026-01-05,81.99590664732783
0x951092b1ed953d0879e3840489be6fbfc4ad363d,weETH,WEETH,0x04c0599ae5a44757c0af6f9ec3b93da8976c150a,lend,Base,end,2026-03-09,66.10175549782274
0x951092b1ed953d0879e3840489be6fbfc4ad363d,weETH,WEETH,0x04c0599ae5a44757c0af6f9ec3b93da8976c150a,lend,Base,plus30d,2026-04-08,34.12827833613062
0xf17182f6f28ded63b77a2bb774c58ade44612be4,USDC,USDC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,lend,Base,start,2025-11-27,1640219.54458
0xf17182f6f28ded63b77a2bb774c58ade44612be4,USDC,USDC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,lend,Base,snapshot,2026-01-05,2815404.680772
0xf17182f6f28ded63b77a2bb774c58ade44612be4,USDC,USDC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,lend,Base,end,2026-03-09,1551860.664046
0xf17182f6f28ded63b77a2bb774c58ade44612be4,USDC,USDC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,lend,Base,plus30d,2026-04-08,1108574.801284
0xa23b5b8f7c7a9c86f39849af12867addd1273e3c,USDC,USDC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,lend,Base,start,2025-11-27,1069497.117072
0xa23b5b8f7c7a9c86f39849af12867addd1273e3c,USDC,USDC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,lend,Base,snapshot,2026-01-05,1055413.049425
0xa23b5b8f7c7a9c86f39849af12867addd1273e3c,USDC,USDC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,lend,Base,end,2026-03-09,878046.990687
0xa23b5b8f7c7a9c86f39849af12867addd1273e3c,USDC,USDC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,lend,Base,plus30d,2026-04-08,873046.285895
0xf58bec4c57f8a459db9840236613082ae17eb23f,ETH,WETH,0x4200000000000000000000000000000000000006,lend,OP Mainnet,start,2025-11-27,168.1497316593847
0xf58bec4c57f8a459db9840236613082ae17eb23f,ETH,WETH,0x4200000000000000000000000000000000000006,lend,OP Mainnet,snapshot,2026-01-05,128.38447533189597
0xf58bec4c57f8a459db9840236613082ae17eb23f,ETH,WETH,0x4200000000000000000000000000000000000006,lend,OP Mainnet,end,2026-03-09,87.94419594406477
0xf58bec4c57f8a459db9840236613082ae17eb23f,ETH,WETH,0x4200000000000000000000000000000000000006,lend,OP Mainnet,plus30d,2026-04-08,66.82980310177334
0x9ef15597b0b900bfcee4a77204f72bd20c85d7c8,ETH,WETH,0x4200000000000000000000000000000000000006,lend,Base,start,2025-11-27,180.8186282941477
0x9ef15597b0b900bfcee4a77204f72bd20c85d7c8,ETH,WETH,0x4200000000000000000000000000000000000006,lend,Base,snapshot,2026-01-05,198.80010715823386
0x9ef15597b0b900bfcee4a77204f72bd20c85d7c8,ETH,WETH,0x4200000000000000000000000000000000000006,lend,Base,end,2026-03-09,266.4369540975702
0x9ef15597b0b900bfcee4a77204f72bd20c85d7c8,ETH,WETH,0x4200000000000000000000000000000000000006,lend,Base,plus30d,2026-04-08,191.674953590133
0xdf2730830c77780a11248945c342c002db73a8be,cbBTC,CBBTC,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,lend,Base,start,2025-11-27,18.4460675
0xdf2730830c77780a11248945c342c002db73a8be,cbBTC,CBBTC,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,lend,Base,snapshot,2026-01-05,22.38062105
0xdf2730830c77780a11248945c342c002db73a8be,cbBTC,CBBTC,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,lend,Base,end,2026-03-09,19.79014139
0xdf2730830c77780a11248945c342c002db73a8be,cbBTC,CBBTC,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,lend,Base,plus30d,2026-04-08,14.48029095
