Date,ΔTVL (USD),in_window
2025-12-19,0,True
2025-12-20,18238,True
2025-12-21,15717,True
2025-12-22,19549,True
2025-12-23,20823,True
2025-12-24,13427,True
2025-12-25,54518,True
2025-12-26,71665,True
2025-12-27,63360,True
2025-12-28,57502,True
2025-12-29,66618,True
2025-12-30,67321,True
2025-12-31,55859,True
2026-01-01,47150,True
2026-01-02,57440,True
2026-01-03,55735,True
2026-01-04,40894,True
2026-01-05,43271,True
2026-01-06,76760,True
2026-01-07,104297,True
2026-01-08,153502,True
2026-01-09,185842,True
2026-01-10,141469,True
2026-01-11,146153,True
2026-01-12,156204,True
2026-01-13,186224,True
2026-01-14,153119,True
2026-01-15,94779,True
2026-01-16,100456,True
2026-01-17,96201,True
2026-01-18,94743,True
2026-01-19,57332,True
2026-01-20,-28501,True
2026-01-21,-45907,True
2026-01-22,-12807,True
2026-01-23,-30973,True
2026-01-24,-43782,True
2026-01-25,-42383,True
2026-01-26,-47115,True
2026-01-27,-44256,True
2026-01-28,-60182,True
2026-01-29,-87052,True
2026-01-30,-96223,True
2026-01-31,-111038,True
2026-02-01,-126732,True
2026-02-02,-126544,True
2026-02-03,-140960,True
2026-02-04,-161997,True
2026-02-05,-193981,True
2026-02-06,-216180,True
2026-02-07,-219430,True
2026-02-08,-219736,True
2026-02-09,-230541,True
2026-02-10,-234345,True
2026-02-11,-234734,True
2026-02-12,-237484,True
2026-02-13,-256843,True
2026-02-14,-258261,True
2026-02-15,-259882,True
2026-02-16,-280286,True
2026-02-17,-280418,True
2026-02-18,-290448,True
2026-02-19,-235963,True
2026-02-20,-215009,True
2026-02-21,-199950,True
2026-02-22,-228787,True
2026-02-23,-315659,True
2026-02-24,-315585,False
2026-02-25,-329492,False
2026-02-26,-309659,False
2026-02-27,-335845,False
2026-02-28,-335261,False
2026-03-01,-335768,False
2026-03-02,-349410,False
2026-03-03,-358904,False
2026-03-04,-357667,False
2026-03-05,-359931,False
2026-03-06,-373553,False
2026-03-07,-373737,False
2026-03-08,-372700,False
2026-03-09,-582146,False
2026-03-10,-588614,False
2026-03-11,-588514,False
2026-03-12,-588631,False
2026-03-13,-588776,False
2026-03-14,-590461,False
2026-03-15,-589933,False
2026-03-16,-591118,False
2026-03-17,-591436,False
2026-03-18,-591787,False
2026-03-19,-598084,False
2026-03-20,-597927,False
2026-03-21,-597710,False
2026-03-22,-597899,False
2026-03-23,-597521,False
2026-03-24,-597484,False
2026-03-25,-597651,False
