contract,pool,token,type,chain,quantity_start,quantity_end,price_end,delta_tvl_usd
0xd604cf300a4ae4345426df42ffb296aa35b4bef2,USDC/DAI,USDC,pool,Base,180542.84,55277.99,0.999981,-125262.5
0xd604cf300a4ae4345426df42ffb296aa35b4bef2,USDC/DAI,DAI,pool,Base,111184.19,24303.84,0.999494,-86836.42
0x8772c46a7d10d7189d21eb635a9d271c83f66263,cbDOGE/WETH,CBDOGE,pool,Base,213000.14,91026.82,0.092491,-11281.4
0x8772c46a7d10d7189d21eb635a9d271c83f66263,cbDOGE/WETH,WETH,pool,Base,13.43,5.2,1826.031942,-15021.36
0x034196aee7968d4c85b00b40c4e88ef706577cfa,cbADA/WETH,CBADA,pool,Base,134961.48,29458.15,0.257089,-27123.79
0x034196aee7968d4c85b00b40c4e88ef706577cfa,cbADA/WETH,WETH,pool,Base,17.41,3.9,1826.031942,-24668.31
0xee58348059c9ad6ac345be79c399da0c200627ed,cbXRP/WETH,CBXRP,pool,Base,145300.07,149196.4,1.327822,5173.64
0xee58348059c9ad6ac345be79c399da0c200627ed,cbXRP/WETH,WETH,pool,Base,70.13,50.26,1826.031942,-36268.3
0x8c8063a449eb9f020449fec4d9f0bca845188929,cbLTC/WETH,CBLTC,pool,Base,698.67,175.12,50.486331,-26431.99
0x8c8063a449eb9f020449fec4d9f0bca845188929,cbLTC/WETH,WETH,pool,Base,20.54,7.58,1826.031942,-23673.93
