Date,ΔTVL (USD),in_window
2025-11-17,0,True
2025-11-18,0,True
2025-11-19,0,True
2025-11-20,0,True
2025-11-21,0,True
2025-11-22,0,True
2025-11-23,0,True
2025-11-24,0,True
2025-11-25,500,True
2025-11-26,500,True
2025-11-27,500,True
2025-11-28,500,True
2025-11-29,500,True
2025-11-30,500,True
2025-12-01,500,True
2025-12-02,500,True
2025-12-03,500,True
2025-12-04,500,True
2025-12-05,500,True
2025-12-06,500,True
2025-12-07,500,True
2025-12-08,500,True
2025-12-09,500,True
2025-12-10,500,True
2025-12-11,500,True
2025-12-12,500,True
2025-12-13,500,True
2025-12-14,500,True
2025-12-15,500,True
2025-12-16,500,True
2025-12-17,500,True
2025-12-18,500,True
2025-12-19,500,True
2025-12-20,500,True
2025-12-21,500,True
2025-12-22,500,True
2025-12-23,500,True
2025-12-24,500,True
2025-12-25,500,True
2025-12-26,500,True
2025-12-27,500,True
2025-12-28,500,True
2025-12-29,500,True
2025-12-30,501,True
2025-12-31,501,True
2026-01-01,501,True
2026-01-02,501,True
2026-01-03,501,True
2026-01-04,501,True
2026-01-05,501,True
2026-01-06,501,True
2026-01-07,501,True
2026-01-08,501,True
2026-01-09,501,True
2026-01-10,501,True
2026-01-11,501,True
2026-01-12,501,True
2026-01-13,3778,True
2026-01-14,9774,True
2026-01-15,13463,True
2026-01-16,16834,True
2026-01-17,18947,True
2026-01-18,19952,True
2026-01-19,22736,True
2026-01-20,24759,True
2026-01-21,27378,True
2026-01-22,29013,True
2026-01-23,33683,True
2026-01-24,34247,True
2026-01-25,34760,True
2026-01-26,36797,True
2026-01-27,37308,True
2026-01-28,37310,True
2026-01-29,37312,False
2026-01-30,37314,False
2026-01-31,37316,False
2026-02-01,36818,False
2026-02-02,36820,False
2026-02-03,98622,False
2026-02-04,98629,False
2026-02-05,98635,False
2026-02-06,98641,False
2026-02-07,98647,False
2026-02-08,98653,False
2026-02-09,98659,False
2026-02-10,98664,False
2026-02-11,98670,False
2026-02-12,98675,False
2026-02-13,98681,False
2026-02-14,98686,False
2026-02-15,98692,False
2026-02-16,98698,False
2026-02-17,98706,False
2026-02-18,98714,False
2026-02-19,98722,False
2026-02-20,98729,False
2026-02-21,98736,False
2026-02-22,98742,False
2026-02-23,98749,False
2026-02-24,98755,False
2026-02-25,98260,False
2026-02-26,98266,False
2026-02-27,98273,False
