wallet,qty_start,qty_end,delta
0x04be52434eb64addf373137310551ac42013677c,0.0,520.901791,520.901791
0x087cdae4009af7974fb808cd4e01414ebf820ab0,0.0,500.407891,500.407891
0x0c560e8b4c179782ab476dfed8a129b0d64e66e8,0.0,1157.866361,1157.866361
0x218c56f591abc69c40e96a10e7b69c62c2c406ee,0.0,514.743581,514.743581
0x28cd26d85b4ac655a489aa3f259f81283bd1a804,0.0,501.57026,501.57026
0x2bcd8898a678050efa5f41f4c6012045dee1b5c3,0.0,576.561302,576.561302
0x2e5b63b36e7b115229d12c88cd47d471c122eddf,0.0,1162.894473,1162.894473
0x349dd66d555a26d890f6bb996ef1eadf9f65bdd3,0.0,520.694754,520.694754
0x36df841c8c269300335ed74d7729c66bc9dcb37d,0.0,580.006341,580.006341
0x3787e2720296b4e0119e344e1b64291ed5fea398,0.0,582.12095,582.12095
0x3b63bbf52aa94016b61ee8d6809253f915d61411,0.0,578.98786,578.98786
0x3d9f3cc0d52ea543116dfebdf3c77819766a64e2,0.0,509.220346,509.220346
0x422cb45f4dcb3f798b53835f8671288d424d881f,0.0,562.126022,562.126022
0x4784a9b16ba5ccb9fb384c0a68448b9e70d357a6,0.0,502.548318,502.548318
0x480f54f40e35739b6ed1dd0cb64ff881c392ff64,0.0,510.685802,510.685802
0x4813ffe82fe058134762df947a9bf453229a010f,0.0,585.463459,585.463459
0x4d571d89c5b71f720dbd271ac60f574402e76add,0.0,519.351579,519.351579
0x52512f63bfdc0ca4d15e31da6b395c94eb16d563,0.0,500.274783,500.274783
0x583924a6dfa73f20d7cee1f067f56afeccdda38c,0.0,600.470786,600.470786
0x58c659b1c03d03ab6e7cf1ad6781bfe16a39375d,0.0,512.664589,512.664589
0x5ebd6fc47e018d572695a30406aab2094f5739a5,0.0,513.110886,513.110886
0x60a50be186c8fedeee7eb8e4162e8052bda6ba0e,0.0,726.338247,726.338247
0x6194a13d478ba4de00cace380f51190663fd0de0,0.0,513.111054,513.111054
0x64fbb84b9a101227af977ab5916cdead0de630bb,0.0,504.817853,504.817853
0x657dd0353bbab3c31a15bebaefe5708f91599384,0.0,511.482366,511.482366
0x66f069a1aa1838b8f435459683a82ec5c4175be1,0.0,505.308285,505.308285
0x696361910177b630d7d98beb66db2a87210111ea,0.0,1090.535798,1090.535798
0x6a70e534e6244e34eca9ca8218640f2d4ee49b42,0.0,510.34872,510.34872
0x6b9cee98a4ca6cff357f576fb2a6cb2b5e43c39f,0.0,579.096129,579.096129
0x6f78bc27fa80f127fadb1897f98dde6cfb3c3f94,0.0,510.024812,510.024812
0x7531543d11be70509fd98599cab5e97745dd04ab,0.0,514.048741,514.048741
0x772ca23497f271c6113fce7c53782f35c304790e,0.0,501.669446,501.669446
0x7743b97525bdf503506288463d39b59b69993cfe,0.0,500.664312,500.664312
0x790d41e2f911b6eecad286c04734036929049793,0.0,513.619958,513.619958
0x7a0222dee3519854468f31154a4349c92814875f,0.0,522.894939,522.894939
0x7d10bd50494ca1094cb706fadee52345b6139cf9,0.0,500.987284,500.987284
0x7df172e521125054caa01d73c4fb4d30360e1079,0.0,500.408993,500.408993
0x7f554a7568293db35a6421759c305fee6b60aa9a,0.0,510.981314,510.981314
0x7f99c1b85c831c60d6f534412e4be78cab94a5e5,0.0,509.546865,509.546865
0x8075c55918a91f5fc1f66fb77a7ca0be67a90233,0.0,503.365539,503.365539
0x84c87d848244e49602f1ce614e46eba81e5f246f,0.0,507.84406,507.84406
0x8633be9e9a5c7c39e9dc9d7ffef0979ce1026e71,0.0,524.490332,524.490332
0x8b6bbe943259e12885529e4d340a0a5822f8d337,0.0,508.747738,508.747738
0x8c298797fb92fb91c1d4a83e5b948f431fe229c6,0.0,577.829498,577.829498
0x8da35b920fe236a757a0fad93d3a3ab8ea0a24cc,0.0,501.662729,501.662729
0x8da66f6ee0eedf4376e471d7a507553296e49c19,0.0,0.0,0.0
0x9ab1433913c1014e2166b3c7f039d9528b1fc540,0.0,520.181091,520.181091
0x9e231a8b9c247230cb88befafee97a22ae244ee5,0.0,505.982255,505.982255
0xac82362174a32fbbad61efcb0f02b9016b20c768,0.0,578.823628,578.823628
0xae598104ba092f09470e59e7a4d2349dbbdc3310,0.0,501.439334,501.439334
0xb57d2a1424ff536ef5debb8761662c72f90f9b66,0.0,511.154826,511.154826
0xc32f2f6217d105d17904f8f495aa122baef4a333,0.0,1015.19221,1015.19221
0xcc18c9473f7117e599b3f2103e794b16ffe7cf44,0.0,578.751074,578.751074
0xcd75160eeafa7227d1eea1dc157f77c3cb0c4688,0.0,511.801876,511.801876
