Contract,ΔTVL (USD)
EURC-USDC (Base),73329
EURC-USDC (Base),-15749
USDC-USDT (Base),3404
USDC-USDT (Base),42748
XSGD-USDC (Base),4749
XSGD-USDC (Base),3484
USDC-USDbC (Base),6479
USDC-USDbC (Base),23273
EURC-USDC 0.01% (Base),9994
EURC-USDC 0.01% (Base),-219460
USDC-USDT 0.01% (Base),-47994
USDC-USDT 0.01% (Base),-44317
wstETH-ETH 0.01% (Base),-49185
wstETH-ETH 0.01% (Base),-29047
EURC-USDT  0.01% (Base),33492
EURC-USDT  0.01% (Base),6496
weETH-WETH  0.01% (Base),7723
weETH-WETH  0.01% (Base),4222
AUDF-USDC  0.01% (Base),120650
AUDF-USDC  0.01% (Base),25598
DAI-USDC  0.01% (Base),-27500
DAI-USDC  0.01% (Base),42443
MUSD-USDC  0.01% (Base),8518
MUSD-USDC  0.01% (Base),277
flETH-WETH  0.01% (Base),21303
flETH-WETH  0.01% (Base),63824
oUSDT-USDC  0.01% (Base),29423
oUSDT-USDC  0.01% (Base),10090
cbETH-ETH  0.01% (Base),181523
cbETH-ETH  0.01% (Base),169283
tGBP-USDC (Base),166264
tGBP-USDC (Base),58944
AUDD-USDC (Base),861
AUDD-USDC (Base),780
