contract,pool,token,address,type,chain,checkpoint,date,quantity
0x1fe14350e72ed606c8850a16d91d5500c18274b7a19852dacf7c4164f78d820b,EURC/USDC,EURC,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,pool (Infinity),Base,start,2025-11-26,18071.164134
0x1fe14350e72ed606c8850a16d91d5500c18274b7a19852dacf7c4164f78d820b,EURC/USDC,USDC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,pool (Infinity),Base,start,2025-11-26,29694.911553
0x1fe14350e72ed606c8850a16d91d5500c18274b7a19852dacf7c4164f78d820b,EURC/USDC,EURC,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,pool (Infinity),Base,snapshot,2025-12-18,12454.947133
0x1fe14350e72ed606c8850a16d91d5500c18274b7a19852dacf7c4164f78d820b,EURC/USDC,USDC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,pool (Infinity),Base,snapshot,2025-12-18,43656.848961
0x1fe14350e72ed606c8850a16d91d5500c18274b7a19852dacf7c4164f78d820b,EURC/USDC,EURC,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,pool (Infinity),Base,end,2026-06-24,82622.62934
0x1fe14350e72ed606c8850a16d91d5500c18274b7a19852dacf7c4164f78d820b,EURC/USDC,USDC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,pool (Infinity),Base,end,2026-06-24,13940.857406
0x1fe14350e72ed606c8850a16d91d5500c18274b7a19852dacf7c4164f78d820b,EURC/USDC,EURC,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,pool (Infinity),Base,plus30d,2026-07-24,78738.720315
0x1fe14350e72ed606c8850a16d91d5500c18274b7a19852dacf7c4164f78d820b,EURC/USDC,USDC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,pool (Infinity),Base,plus30d,2026-07-24,17331.836496
0x9ed2b133457a9debb64997f932b15a0a81f61718e8a267a4b36fab7b960d788a,USDC/USDT,USDC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,pool (Infinity),Base,start,2025-11-26,110.4091
0x9ed2b133457a9debb64997f932b15a0a81f61718e8a267a4b36fab7b960d788a,USDC/USDT,USDT,0xfde4c96c8593536e31f229ea8f37b2ada2699bb2,pool (Infinity),Base,start,2025-11-26,11302.861068
0x9ed2b133457a9debb64997f932b15a0a81f61718e8a267a4b36fab7b960d788a,USDC/USDT,USDC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,pool (Infinity),Base,snapshot,2025-12-18,98.331496
0x9ed2b133457a9debb64997f932b15a0a81f61718e8a267a4b36fab7b960d788a,USDC/USDT,USDT,0xfde4c96c8593536e31f229ea8f37b2ada2699bb2,pool (Infinity),Base,snapshot,2025-12-18,59.418949
0x9ed2b133457a9debb64997f932b15a0a81f61718e8a267a4b36fab7b960d788a,USDC/USDT,USDC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,pool (Infinity),Base,end,2026-06-24,3515.772642
0x9ed2b133457a9debb64997f932b15a0a81f61718e8a267a4b36fab7b960d788a,USDC/USDT,USDT,0xfde4c96c8593536e31f229ea8f37b2ada2699bb2,pool (Infinity),Base,end,2026-06-24,54154.771386
0x9ed2b133457a9debb64997f932b15a0a81f61718e8a267a4b36fab7b960d788a,USDC/USDT,USDC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,pool (Infinity),Base,plus30d,2026-07-24,3397.809866
0x9ed2b133457a9debb64997f932b15a0a81f61718e8a267a4b36fab7b960d788a,USDC/USDT,USDT,0xfde4c96c8593536e31f229ea8f37b2ada2699bb2,pool (Infinity),Base,plus30d,2026-07-24,50903.247574
0x9dc5b572d9618d1d82e0f6a6c7c7e9da3ff85b9c86b6308abe14440e0e01061e,XSGD/USDC,XSGD,0x0a4c9cb2778ab3302996a34befcf9a8bc288c33b,pool (Infinity),Base,start,2025-11-26,0.0
0x9dc5b572d9618d1d82e0f6a6c7c7e9da3ff85b9c86b6308abe14440e0e01061e,XSGD/USDC,USDC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,pool (Infinity),Base,start,2025-11-26,0.0
0x9dc5b572d9618d1d82e0f6a6c7c7e9da3ff85b9c86b6308abe14440e0e01061e,XSGD/USDC,XSGD,0x0a4c9cb2778ab3302996a34befcf9a8bc288c33b,pool (Infinity),Base,snapshot,2025-12-18,0.0
0x9dc5b572d9618d1d82e0f6a6c7c7e9da3ff85b9c86b6308abe14440e0e01061e,XSGD/USDC,USDC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,pool (Infinity),Base,snapshot,2025-12-18,0.0
0x9dc5b572d9618d1d82e0f6a6c7c7e9da3ff85b9c86b6308abe14440e0e01061e,XSGD/USDC,XSGD,0x0a4c9cb2778ab3302996a34befcf9a8bc288c33b,pool (Infinity),Base,end,2026-06-24,6161.975565
0x9dc5b572d9618d1d82e0f6a6c7c7e9da3ff85b9c86b6308abe14440e0e01061e,XSGD/USDC,USDC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,pool (Infinity),Base,end,2026-06-24,3485.607507
0x9dc5b572d9618d1d82e0f6a6c7c7e9da3ff85b9c86b6308abe14440e0e01061e,XSGD/USDC,XSGD,0x0a4c9cb2778ab3302996a34befcf9a8bc288c33b,pool (Infinity),Base,plus30d,2026-07-24,5715.028346
0x9dc5b572d9618d1d82e0f6a6c7c7e9da3ff85b9c86b6308abe14440e0e01061e,XSGD/USDC,USDC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,pool (Infinity),Base,plus30d,2026-07-24,7287.272971
0xffd8807511b4657aaf2777232b53a095f8ba6d24a368f4c1768b1cd1de1944f6,USDC/USDbC,USDC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,pool (Infinity),Base,start,2025-11-26,0.0
0xffd8807511b4657aaf2777232b53a095f8ba6d24a368f4c1768b1cd1de1944f6,USDC/USDbC,USDBC,0xd9aaec86b65d86f6a7b5b1b0c42ffa531710b6ca,pool (Infinity),Base,start,2025-11-26,0.0
0xffd8807511b4657aaf2777232b53a095f8ba6d24a368f4c1768b1cd1de1944f6,USDC/USDbC,USDC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,pool (Infinity),Base,snapshot,2025-12-18,0.0
0xffd8807511b4657aaf2777232b53a095f8ba6d24a368f4c1768b1cd1de1944f6,USDC/USDbC,USDBC,0xd9aaec86b65d86f6a7b5b1b0c42ffa531710b6ca,pool (Infinity),Base,snapshot,2025-12-18,0.0
0xffd8807511b4657aaf2777232b53a095f8ba6d24a368f4c1768b1cd1de1944f6,USDC/USDbC,USDC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,pool (Infinity),Base,end,2026-06-24,6481.051435
0xffd8807511b4657aaf2777232b53a095f8ba6d24a368f4c1768b1cd1de1944f6,USDC/USDbC,USDBC,0xd9aaec86b65d86f6a7b5b1b0c42ffa531710b6ca,pool (Infinity),Base,end,2026-06-24,23280.980416
0xffd8807511b4657aaf2777232b53a095f8ba6d24a368f4c1768b1cd1de1944f6,USDC/USDbC,USDC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,pool (Infinity),Base,plus30d,2026-07-24,20571.586069
0xffd8807511b4657aaf2777232b53a095f8ba6d24a368f4c1768b1cd1de1944f6,USDC/USDbC,USDBC,0xd9aaec86b65d86f6a7b5b1b0c42ffa531710b6ca,pool (Infinity),Base,plus30d,2026-07-24,931.643709
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,EURC/USDC 0.01%,EURC,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,pool (V3),Base,start,2025-11-26,147669.754818
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,EURC/USDC 0.01%,USDC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,pool (V3),Base,start,2025-11-26,234726.268094
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,EURC/USDC 0.01%,EURC,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,pool (V3),Base,snapshot,2025-12-18,38032.645588
