contract,pool,token,type,chain,quantity_start,quantity_end,price_end,delta_tvl_usd
0x1fe14350e72ed606c8850a16d91d5500c18274b7a19852dacf7c4164f78d820b,EURC/USDC,EURC,pool (Infinity),Base,18071.16,82622.63,1.135983,73329.34
0x1fe14350e72ed606c8850a16d91d5500c18274b7a19852dacf7c4164f78d820b,EURC/USDC,USDC,pool (Infinity),Base,29694.91,13940.86,0.999676,-15748.95
0x9ed2b133457a9debb64997f932b15a0a81f61718e8a267a4b36fab7b960d788a,USDC/USDT,USDC,pool (Infinity),Base,110.41,3515.77,0.999676,3404.26
0x9ed2b133457a9debb64997f932b15a0a81f61718e8a267a4b36fab7b960d788a,USDC/USDT,USDT,pool (Infinity),Base,11302.86,54154.77,0.997564,42747.54
0x9dc5b572d9618d1d82e0f6a6c7c7e9da3ff85b9c86b6308abe14440e0e01061e,XSGD/USDC,XSGD,pool (Infinity),Base,0.0,6161.98,0.770741,4749.29
0x9dc5b572d9618d1d82e0f6a6c7c7e9da3ff85b9c86b6308abe14440e0e01061e,XSGD/USDC,USDC,pool (Infinity),Base,0.0,3485.61,0.999676,3484.48
0xffd8807511b4657aaf2777232b53a095f8ba6d24a368f4c1768b1cd1de1944f6,USDC/USDbC,USDC,pool (Infinity),Base,0.0,6481.05,0.999676,6478.95
0xffd8807511b4657aaf2777232b53a095f8ba6d24a368f4c1768b1cd1de1944f6,USDC/USDbC,USDBC,pool (Infinity),Base,0.0,23280.98,0.999667,23273.23
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,EURC/USDC 0.01%,EURC,pool (V3),Base,147669.75,156467.29,1.135983,9993.84
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,EURC/USDC 0.01%,USDC,pool (V3),Base,234726.27,15195.19,0.999676,-219459.95
0x5f07bb9fee6062e9d09a52e6d587c64bad6ba706,USDC/USDT 0.01%,USDC,pool (V3),Base,76147.32,28137.97,0.999676,-47993.8
0x5f07bb9fee6062e9d09a52e6d587c64bad6ba706,USDC/USDT 0.01%,USDT,pool (V3),Base,104269.92,59844.6,0.997564,-44317.13
0xbd59a718e60bd868123c6e949c9fd97185efbdb7,wstETH/ETH 0.01%,WSTETH,pool (V3),Base,28.73,4.55,2033.878373,-49185.02
0xbd59a718e60bd868123c6e949c9fd97185efbdb7,wstETH/ETH 0.01%,ETH,pool (V3),Base,33.97,16.3,1643.636588,-29046.91
0xf0c559af52bce48b3f3710604a59b4feaefd5555,EURC/USDT 0.01%,EURC,pool (V3),Base,0.0,29482.45,1.135983,33491.55
0xf0c559af52bce48b3f3710604a59b4feaefd5555,EURC/USDT 0.01%,USDT,pool (V3),Base,0.0,6512.0,0.997564,6496.14
0x302976a386fbb375033be3ac1e4112f76cf42ef7,weETH/WETH 0.01%,WEETH,pool (V3),Base,0.43,4.71,1805.513915,7722.53
0x302976a386fbb375033be3ac1e4112f76cf42ef7,weETH/WETH 0.01%,WETH,pool (V3),Base,1.03,3.6,1643.636588,4221.77
0x5f433f47db8ac2a90d50e3cafb29a7039d5828d4,AUDF/USDC 0.01%,AUDF,pool (V3),Base,0.0,175014.95,0.689369,120649.89
0x5f433f47db8ac2a90d50e3cafb29a7039d5828d4,AUDF/USDC 0.01%,USDC,pool (V3),Base,0.0,25605.88,0.999676,25597.58
0x345825a980bd94e1480bc4f20fe4e3dae2f23dd3,DAI/USDC 0.01%,DAI,pool (V3),Base,37884.03,10384.4,0.999997,-27499.53
0x345825a980bd94e1480bc4f20fe4e3dae2f23dd3,DAI/USDC 0.01%,USDC,pool (V3),Base,4979.84,47436.52,0.999676,42442.93
0xa0eed82e20cab62a5698e898e9fd4c4db412ee7e,MUSD/USDC 0.01%,MUSD,pool (V3),Base,0.0,8591.87,0.991441,8518.33
0xa0eed82e20cab62a5698e898e9fd4c4db412ee7e,MUSD/USDC 0.01%,USDC,pool (V3),Base,0.0,276.77,0.999676,276.68
0x64cfc444f30056302d4bfd20fd79783aa4b3fda3,flETH/WETH 0.01%,FLETH,pool (V3),Base,0.0,12.97,1642.733637,21303.33
0x64cfc444f30056302d4bfd20fd79783aa4b3fda3,flETH/WETH 0.01%,WETH,pool (V3),Base,0.0,38.83,1643.636588,63824.4
0xb367b4c74f5316a04cf7b12f2020d00c84779acd,oUSDT/USDC 0.01%,OUSDT,pool (V3),Base,3.79,29453.08,0.999114,29423.19
0xb367b4c74f5316a04cf7b12f2020d00c84779acd,oUSDT/USDC 0.01%,USDC,pool (V3),Base,4.72,10098.27,0.999676,10090.28
0x257fcbae4ac6b26a02e4fc5e1a11e4174b5ce395,cbETH/ETH 0.01%,CBETH,pool (V3),Base,2.78,100.26,1862.229256,181522.6
0x257fcbae4ac6b26a02e4fc5e1a11e4174b5ce395,cbETH/ETH 0.01%,ETH,pool (V3),Base,10.58,113.57,1643.636588,169283.1
0x6763ac78b18c40e59dce6a8acf7c9f9c046555fa2ebc76cf2634afdc5363bd9a,tGBP/USDC,TGBP,pool (Infinity),Base,0.0,126197.93,1.317485,166263.91
0x6763ac78b18c40e59dce6a8acf7c9f9c046555fa2ebc76cf2634afdc5363bd9a,tGBP/USDC,USDC,pool (Infinity),Base,0.0,58963.29,0.999676,58944.18
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,AUDD/USDC,AUDD,pool (Infinity),Base,0.0,1241.31,0.693535,860.89
0x02a4a0db44682be4d5c4c7809c0c96c4f0464d9b565d9fcdf536b23738277d9f,AUDD/USDC,USDC,pool (Infinity),Base,0.0,780.0,0.999676,779.75
