contract,pool,token,address,type,chain,checkpoint,date,quantity
0xfaf4de6b4f92e8c44735d8224ceb89f54b7e6d9137ad7fac238057f09db75964,DCA/USDC,DCA,0xb1599cde32181f48f89683d3c5db5c5d2c7c93cc,pool,OP Mainnet,start,2025-11-16,276.4912631854217
0xfaf4de6b4f92e8c44735d8224ceb89f54b7e6d9137ad7fac238057f09db75964,DCA/USDC,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,pool,OP Mainnet,start,2025-11-16,68.593057
0xfaf4de6b4f92e8c44735d8224ceb89f54b7e6d9137ad7fac238057f09db75964,DCA/USDC,DCA,0xb1599cde32181f48f89683d3c5db5c5d2c7c93cc,pool,OP Mainnet,snapshot,2025-12-05,1665.452430879975
0xfaf4de6b4f92e8c44735d8224ceb89f54b7e6d9137ad7fac238057f09db75964,DCA/USDC,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,pool,OP Mainnet,snapshot,2025-12-05,423.147747
0xfaf4de6b4f92e8c44735d8224ceb89f54b7e6d9137ad7fac238057f09db75964,DCA/USDC,DCA,0xb1599cde32181f48f89683d3c5db5c5d2c7c93cc,pool,OP Mainnet,end,2026-03-12,3282.185781392379
0xfaf4de6b4f92e8c44735d8224ceb89f54b7e6d9137ad7fac238057f09db75964,DCA/USDC,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,pool,OP Mainnet,end,2026-03-12,367.031784
0xfaf4de6b4f92e8c44735d8224ceb89f54b7e6d9137ad7fac238057f09db75964,DCA/USDC,DCA,0xb1599cde32181f48f89683d3c5db5c5d2c7c93cc,pool,OP Mainnet,plus30d,2026-04-11,3329.1560666904516
0xfaf4de6b4f92e8c44735d8224ceb89f54b7e6d9137ad7fac238057f09db75964,DCA/USDC,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,pool,OP Mainnet,plus30d,2026-04-11,361.853418
0x8b3156a785bcf477d92f2f2a9d7827585d9d551525abb512b0769fbec34e9d22,ETH/DCA,ETH,0x0000000000000000000000000000000000000000,pool,OP Mainnet,start,2025-11-16,0.023378483624566515
0x8b3156a785bcf477d92f2f2a9d7827585d9d551525abb512b0769fbec34e9d22,ETH/DCA,DCA,0xb1599cde32181f48f89683d3c5db5c5d2c7c93cc,pool,OP Mainnet,start,2025-11-16,312.54885092962155
0x8b3156a785bcf477d92f2f2a9d7827585d9d551525abb512b0769fbec34e9d22,ETH/DCA,ETH,0x0000000000000000000000000000000000000000,pool,OP Mainnet,snapshot,2025-12-05,0.10753134411334907
0x8b3156a785bcf477d92f2f2a9d7827585d9d551525abb512b0769fbec34e9d22,ETH/DCA,DCA,0xb1599cde32181f48f89683d3c5db5c5d2c7c93cc,pool,OP Mainnet,snapshot,2025-12-05,3083.6962599073013
0x8b3156a785bcf477d92f2f2a9d7827585d9d551525abb512b0769fbec34e9d22,ETH/DCA,ETH,0x0000000000000000000000000000000000000000,pool,OP Mainnet,end,2026-03-12,0.2484696978723486
0x8b3156a785bcf477d92f2f2a9d7827585d9d551525abb512b0769fbec34e9d22,ETH/DCA,DCA,0xb1599cde32181f48f89683d3c5db5c5d2c7c93cc,pool,OP Mainnet,end,2026-03-12,7640.560146526774
0x8b3156a785bcf477d92f2f2a9d7827585d9d551525abb512b0769fbec34e9d22,ETH/DCA,ETH,0x0000000000000000000000000000000000000000,pool,OP Mainnet,plus30d,2026-04-11,0.2381548274102131
0x8b3156a785bcf477d92f2f2a9d7827585d9d551525abb512b0769fbec34e9d22,ETH/DCA,DCA,0xb1599cde32181f48f89683d3c5db5c5d2c7c93cc,pool,OP Mainnet,plus30d,2026-04-11,8552.004266275955
0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,WBTC,0x68f180fcce6836688e9084f035309e29bf0a2095,pool,OP Mainnet,start,2025-11-16,0.00025265
0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,0xb1599cde32181f48f89683d3c5db5c5d2c7c93cc,pool,OP Mainnet,start,2025-11-16,104.20632494426007
0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,WBTC,0x68f180fcce6836688e9084f035309e29bf0a2095,pool,OP Mainnet,snapshot,2025-12-05,0.00450958
0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,0xb1599cde32181f48f89683d3c5db5c5d2c7c93cc,pool,OP Mainnet,snapshot,2025-12-05,1478.4470366607952
0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,WBTC,0x68f180fcce6836688e9084f035309e29bf0a2095,pool,OP Mainnet,end,2026-03-12,0.004087
0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,0xb1599cde32181f48f89683d3c5db5c5d2c7c93cc,pool,OP Mainnet,end,2026-03-12,3886.301299213107
0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,WBTC,0x68f180fcce6836688e9084f035309e29bf0a2095,pool,OP Mainnet,plus30d,2026-04-11,0.00401438
0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,0xb1599cde32181f48f89683d3c5db5c5d2c7c93cc,pool,OP Mainnet,plus30d,2026-04-11,2680.137886751525
0xd6821af358d804a37fd82b956d80b2fcf74e6463069e7d8b2ffe86138087da36,OP/DCA,OP,0x4200000000000000000000000000000000000042,pool,OP Mainnet,start,2025-11-16,26.903824411199288
0xd6821af358d804a37fd82b956d80b2fcf74e6463069e7d8b2ffe86138087da36,OP/DCA,DCA,0xb1599cde32181f48f89683d3c5db5c5d2c7c93cc,pool,OP Mainnet,start,2025-11-16,40.07427718459508
0xd6821af358d804a37fd82b956d80b2fcf74e6463069e7d8b2ffe86138087da36,OP/DCA,OP,0x4200000000000000000000000000000000000042,pool,OP Mainnet,snapshot,2025-12-05,2074.9157410849043
0xd6821af358d804a37fd82b956d80b2fcf74e6463069e7d8b2ffe86138087da36,OP/DCA,DCA,0xb1599cde32181f48f89683d3c5db5c5d2c7c93cc,pool,OP Mainnet,snapshot,2025-12-05,2363.6204487251152
0xd6821af358d804a37fd82b956d80b2fcf74e6463069e7d8b2ffe86138087da36,OP/DCA,OP,0x4200000000000000000000000000000000000042,pool,OP Mainnet,end,2026-03-12,2927.1162988651317
0xd6821af358d804a37fd82b956d80b2fcf74e6463069e7d8b2ffe86138087da36,OP/DCA,DCA,0xb1599cde32181f48f89683d3c5db5c5d2c7c93cc,pool,OP Mainnet,end,2026-03-12,3811.0097185635777
0xd6821af358d804a37fd82b956d80b2fcf74e6463069e7d8b2ffe86138087da36,OP/DCA,OP,0x4200000000000000000000000000000000000042,pool,OP Mainnet,plus30d,2026-04-11,2863.1436098355266
0xd6821af358d804a37fd82b956d80b2fcf74e6463069e7d8b2ffe86138087da36,OP/DCA,DCA,0xb1599cde32181f48f89683d3c5db5c5d2c7c93cc,pool,OP Mainnet,plus30d,2026-04-11,2894.031752912112
