Contract,ΔTVL (USD)
CL100-USDC/WETH (OP Mainnet),-808191
CL100-USDC/WETH (OP Mainnet),-1133402
CL100-WETH/WBTC (OP Mainnet),-102601
CL100-WETH/WBTC (OP Mainnet),180148
CL100-WETH/USDT (OP Mainnet),-17520
CL100-WETH/USDT (OP Mainnet),-2595
CL100-USDC/wstETH (OP Mainnet),13321
CL100-USDC/wstETH (OP Mainnet),30607
CL100-USDT0/WETH (OP Mainnet),-2912
CL100-USDT0/WETH (OP Mainnet),-9711
CL200-WETH/tBTC (OP Mainnet),-30747
CL200-WETH/tBTC (OP Mainnet),11979
CL100-USDC/WBTC (OP Mainnet),-741971
CL100-USDC/WBTC (OP Mainnet),-924187
CL1-USDC/USDT (OP Mainnet),108805
CL1-USDC/USDT (OP Mainnet),-57923
CL1-USDT0/USDC (OP Mainnet),95091
CL1-USDT0/USDC (OP Mainnet),276489
CL1-wstETH/WETH (OP Mainnet),-996515
CL1-wstETH/WETH (OP Mainnet),-338132
CL1-WBTC/tBTC (OP Mainnet),29687
CL1-WBTC/tBTC (OP Mainnet),30712
CL1-USDT0/USDT (OP Mainnet),1001944
CL1-USDT0/USDT (OP Mainnet),2591628
CL1-USDC/USDC (OP Mainnet),-2195
CL1-WETH/weETH (OP Mainnet),30
CL1-WETH/weETH (OP Mainnet),28
CL100-WETH/USDT0 (Unichain),-3320
CL100-WETH/USDT0 (Unichain),2181
CL1-USDC/USDT0 (Unichain),-77729
CL1-USDC/USDT0 (Unichain),38505
CL100-USDC/WETH (Unichain),1708
CL100-USDC/WETH (Unichain),-29754
CL100-WBTC/USDT0 (Unichain),551
CL100-WBTC/USDT0 (Unichain),3229
CL100-WBTC/USDC (Unichain),-4300
CL100-WBTC/USDC (Unichain),10
CL100-USDT0/WETH (Ink),702206
CL100-USDT0/WETH (Ink),197309
CL100-WETH/USDG (Ink),-27613
CL100-WETH/USDG (Ink),-8509
CL100-USDT0/kBTC (Ink),695136
CL100-USDT0/kBTC (Ink),356396
CL100-WETH/kBTC (Ink),-122221
CL100-WETH/kBTC (Ink),-5050
sAMM-USDT0/USDC.e (Ink),-212
sAMM-USDT0/USDC.e (Ink),-185
CL100-kBTC/USDG (Ink),-16585
CL100-kBTC/USDG (Ink),8718
CL100-USDC/WETH (Ink),7763
CL100-USDC/WETH (Ink),-8215
CL1-USDT0/USDC (Ink),210922
CL1-USDT0/USDC (Ink),-86231
CL100-WETH/USDC.e (Ink),-38798
CL100-WETH/USDC.e (Ink),3646
CL1-USDT0/USDG (Ink),325630
CL1-USDT0/USDG (Ink),-1123686
CL1-USDT0/USDC.e (Ink),-68706
CL1-USDT0/USDC.e (Ink),-13447
CL1-USDT0/GHO (Ink),-267233
CL1-USDT0/GHO (Ink),482727
sAMM-kBTC/SolvBTC (Ink),337
sAMM-kBTC/SolvBTC (Ink),-337
CL100-WETH/wrsETH (Ink),-8
CL100-WETH/wrsETH (Ink),-13
CL1-WETH/weETH (Ink),91778
CL1-WETH/weETH (Ink),-96231
CL1-kBTC/SolvBTC (Ink),-27
CL1-kBTC/SolvBTC (Ink),33
CL10-WETH/wrsETH (Ink),1
CL10-WETH/wrsETH (Ink),-1
CL200-kBTC/SolvBTC (Ink),-384404
CL200-kBTC/SolvBTC (Ink),-581591
CL1-USDC/USDC.e (Ink),252
CL1-USDC/USDC.e (Ink),136
CL1-WETH/wrsETH (Ink),60
CL1-WETH/wrsETH (Ink),-44
CL1-USDT0/USDe (Ink),0
CL1-USDT0/USDe (Ink),0
CL10-USDT0/sUSDe (Ink),0
CL10-USDT0/sUSDe (Ink),0
CL10-USDT0/syrupUSDT (Ink),247810
CL10-USDT0/syrupUSDT (Ink),0
CL10-sUSDe/USDe (Ink),0
CL10-sUSDe/USDe (Ink),25
CL1-ezETH/WETH (Ink),0
CL1-ezETH/WETH (Ink),-421
CL100-WETH/USDC.e (Soneium),-30374
CL100-WETH/USDC.e (Soneium),7861
CL50-WBTC/WETH (Soneium),4469
CL50-WBTC/WETH (Soneium),-8838
CL1-USDT0/USDC.e (Soneium),-3258
CL1-USDT0/USDC.e (Soneium),144
CL100-USDT0/WETH (Soneium),-2312
CL100-USDT0/WETH (Soneium),-25896
CL1-USDT/USDC.e (Soneium),-1099
CL1-USDT/USDC.e (Soneium),-4257
CL100-USDT/WETH (Soneium),46
CL100-USDT/WETH (Soneium),-68
