contract,pool,token,address,type,chain,checkpoint,date,quantity
0x478946bcd4a5a22b316470f5486fafb928c0ba25,USDC/WETH CL100,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,pool,OP Mainnet,start,2026-02-10,1100786.532703
0x478946bcd4a5a22b316470f5486fafb928c0ba25,USDC/WETH CL100,WETH,0x4200000000000000000000000000000000000006,pool,OP Mainnet,start,2026-02-10,800.324418541514
0x478946bcd4a5a22b316470f5486fafb928c0ba25,USDC/WETH CL100,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,pool,OP Mainnet,snapshot,2026-03-30,1364255.298992
0x478946bcd4a5a22b316470f5486fafb928c0ba25,USDC/WETH CL100,WETH,0x4200000000000000000000000000000000000006,pool,OP Mainnet,snapshot,2026-03-30,701.984667920164
0x478946bcd4a5a22b316470f5486fafb928c0ba25,USDC/WETH CL100,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,pool,OP Mainnet,end,2026-08-31,450867.675952
0x478946bcd4a5a22b316470f5486fafb928c0ba25,USDC/WETH CL100,WETH,0x4200000000000000000000000000000000000006,pool,OP Mainnet,end,2026-08-31,353.2698431727232
0x319c0dd36284ac24a6b2bee73929f699b9f48c38,WETH/WBTC CL100,WETH,0x4200000000000000000000000000000000000006,pool,OP Mainnet,start,2026-02-10,106.54655387483363
0x319c0dd36284ac24a6b2bee73929f699b9f48c38,WETH/WBTC CL100,WBTC,0x68f180fcce6836688e9084f035309e29bf0a2095,pool,OP Mainnet,start,2026-02-10,1.2503449
0x319c0dd36284ac24a6b2bee73929f699b9f48c38,WETH/WBTC CL100,WETH,0x4200000000000000000000000000000000000006,pool,OP Mainnet,snapshot,2026-03-30,77.05433171612314
0x319c0dd36284ac24a6b2bee73929f699b9f48c38,WETH/WBTC CL100,WBTC,0x68f180fcce6836688e9084f035309e29bf0a2095,pool,OP Mainnet,snapshot,2026-03-30,3.31595819
0x319c0dd36284ac24a6b2bee73929f699b9f48c38,WETH/WBTC CL100,WETH,0x4200000000000000000000000000000000000006,pool,OP Mainnet,end,2026-08-31,124.57728837135274
0x319c0dd36284ac24a6b2bee73929f699b9f48c38,WETH/WBTC CL100,WBTC,0x68f180fcce6836688e9084f035309e29bf0a2095,pool,OP Mainnet,end,2026-08-31,4.03380291
0x6cfdebcc8bf2548967d4e02c058290634e4931d1,WETH/USDT CL100,WETH,0x4200000000000000000000000000000000000006,pool,OP Mainnet,start,2026-02-10,7.704968277010251
0x6cfdebcc8bf2548967d4e02c058290634e4931d1,WETH/USDT CL100,USDT,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,pool,OP Mainnet,start,2026-02-10,3625.258429
0x6cfdebcc8bf2548967d4e02c058290634e4931d1,WETH/USDT CL100,WETH,0x4200000000000000000000000000000000000006,pool,OP Mainnet,snapshot,2026-03-30,8.260829292218267
0x6cfdebcc8bf2548967d4e02c058290634e4931d1,WETH/USDT CL100,USDT,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,pool,OP Mainnet,snapshot,2026-03-30,11490.414846
0x6cfdebcc8bf2548967d4e02c058290634e4931d1,WETH/USDT CL100,WETH,0x4200000000000000000000000000000000000006,pool,OP Mainnet,end,2026-08-31,0.4745265727516799
0x6cfdebcc8bf2548967d4e02c058290634e4931d1,WETH/USDT CL100,USDT,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,pool,OP Mainnet,end,2026-08-31,1126.723934
0xee1bac98527a9fdd57fccf967817215b083ce1f0,USDC/wstETH CL100,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,pool,OP Mainnet,start,2026-02-10,30426.546357
0xee1bac98527a9fdd57fccf967817215b083ce1f0,USDC/wstETH CL100,WSTETH,0x1f32b1c2345538c0c6f582fcb022739c4a194ebb,pool,OP Mainnet,start,2026-02-10,17.679229913967806
