contract,pool,token,type,chain,quantity_start,quantity_end,price_end,delta_tvl_usd
0x478946bcd4a5a22b316470f5486fafb928c0ba25,USDC/WETH CL100,USDC,pool,OP Mainnet,1100786.53,253039.18,0.999732,-847520.21
0x478946bcd4a5a22b316470f5486fafb928c0ba25,USDC/WETH CL100,WETH,pool,OP Mainnet,800.32,431.45,2405.745334,-887414.38
0x319c0dd36284ac24a6b2bee73929f699b9f48c38,WETH/WBTC CL100,WETH,pool,OP Mainnet,106.55,151.55,2405.745334,108277.91
0x319c0dd36284ac24a6b2bee73929f699b9f48c38,WETH/WBTC CL100,WBTC,pool,OP Mainnet,1.25,3.37,75822.231549,160789.72
0x6cfdebcc8bf2548967d4e02c058290634e4931d1,WETH/USDT CL100,WETH,pool,OP Mainnet,7.7,0.54,2405.745334,-17248.11
0x6cfdebcc8bf2548967d4e02c058290634e4931d1,WETH/USDT CL100,USDT,pool,OP Mainnet,3625.26,942.4,0.999425,-2681.32
0xee1bac98527a9fdd57fccf967817215b083ce1f0,USDC/wstETH CL100,USDC,pool,OP Mainnet,30426.55,57355.9,0.999732,26922.14
0xee1bac98527a9fdd57fccf967817215b083ce1f0,USDC/wstETH CL100,WSTETH,pool,OP Mainnet,17.68,39.54,2988.36172,65325.73
0xa9f987869bfe56d3a2ece2e79df55684d0bbcd8b,USDT0/WETH CL100,USDT0,pool,OP Mainnet,7701.13,4295.46,0.999384,-3403.58
0xa9f987869bfe56d3a2ece2e79df55684d0bbcd8b,USDT0/WETH CL100,WETH,pool,OP Mainnet,6.94,3.17,2405.745334,-9069.36
0xec3d9098bd40ec741676fc04d4bd26bccf592aa3,WETH/tBTC CL200,WETH,pool,OP Mainnet,15.38,2.52,2405.745334,-30941.19
0xec3d9098bd40ec741676fc04d4bd26bccf592aa3,WETH/tBTC CL200,TBTC,pool,OP Mainnet,0.18,0.35,75882.309368,13217.1
0xcf50dea65ee80ebddaa61005a960ef5a5c995a99,USDC/WBTC CL100,USDC,pool,OP Mainnet,842975.57,94734.17,0.999732,-748040.91
0xcf50dea65ee80ebddaa61005a960ef5a5c995a99,USDC/WBTC CL100,WBTC,pool,OP Mainnet,13.98,2.95,75822.231549,-836689.01
0x84ce89b4f6f67e523a81a82f9f2f14d84b726f6b,USDC/USDT CL1,USDC,pool,OP Mainnet,81070.88,94287.51,0.999732,13213.1
0x84ce89b4f6f67e523a81a82f9f2f14d84b726f6b,USDC/USDT CL1,USDT,pool,OP Mainnet,91758.12,51379.37,0.999425,-40355.55
0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9,USDT0/USDC CL1,USDT0,pool,OP Mainnet,220285.06,408014.77,0.999384,187614.02
0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9,USDT0/USDC CL1,USDC,pool,OP Mainnet,33301.91,151821.93,0.999732,118488.26
0xbf30ff33cf9c6b0c48702ff17891293b002dfea4,wstETH/WETH CL1,WSTETH,pool,OP Mainnet,424.38,14.68,2988.36172,-1224327.53
0xbf30ff33cf9c6b0c48702ff17891293b002dfea4,wstETH/WETH CL1,WETH,pool,OP Mainnet,158.83,184.19,2405.745334,61000.01
0x8949a8e02998d76d7a703cac9ee7e0f529828011,WBTC/tBTC CL1,WBTC,pool,OP Mainnet,0.35,0.6,75822.231549,18909.02
0x8949a8e02998d76d7a703cac9ee7e0f529828011,WBTC/tBTC CL1,TBTC,pool,OP Mainnet,0.56,1.27,75882.309368,53589.34
0x4da46c6afe7322b66efefda1f702605cbe08e0bd,USDT0/USDT CL1,USDT0,pool,OP Mainnet,19266.05,2091635.97,0.999384,2071092.8
0x4da46c6afe7322b66efefda1f702605cbe08e0bd,USDT0/USDT CL1,USDT,pool,OP Mainnet,35418.39,3250125.29,0.999425,3212859.93
0x2fa71491f8070fa644d97b4782db5734854c0f6f,USDC/USDC CL1,USDC,pool,OP Mainnet,63121.16,24368.73,0.999732,-38742.05
0x2cbbcbec0c49d2ae2516bd71ab70e561746a7bf7,WETH/weETH CL1,WETH,pool,OP Mainnet,0.0,0.01,2405.745334,29.5
0x2cbbcbec0c49d2ae2516bd71ab70e561746a7bf7,WETH/weETH CL1,WEETH,pool,OP Mainnet,0.0,0.01,2655.038834,27.49
0x95a0dec1e4fe633aea5ad725375071a3a9f24501,WETH/USDT0 CL100,WETH,pool,Unichain,7.51,7.07,2404.427442,-1067.81
0x95a0dec1e4fe633aea5ad725375071a3a9f24501,WETH/USDT0 CL100,USDT0,pool,Unichain,2387.41,678.67,0.999384,-1707.68
0x31bafd5d04580f71a808ae646bb787d38e9362f9,USDC/USDT0 CL1,USDC,pool,Unichain,93865.21,44104.43,0.999732,-49747.44
0x31bafd5d04580f71a808ae646bb787d38e9362f9,USDC/USDT0 CL1,USDT0,pool,Unichain,22383.41,44336.53,0.999384,21939.59
0x5438e884c621d5db08fa605b53ca04c5b33a623a,USDC/WETH CL100,USDC,pool,Unichain,6992.84,8030.48,0.999732,1037.36
0x5438e884c621d5db08fa605b53ca04c5b33a623a,USDC/WETH CL100,WETH,pool,Unichain,153.49,143.11,2404.427442,-24970.61
0x4dd903018d8e474c38c2daafdb6bdf0f62a40e75,WBTC/USDT0 CL100,WBTC,pool,Unichain,0.01,0.03,75822.231549,1489.65
0x4dd903018d8e474c38c2daafdb6bdf0f62a40e75,WBTC/USDT0 CL100,USDT0,pool,Unichain,132.44,2108.06,0.999384,1974.4
0x0162ccc58edeca41f4c640f164eec2d4f0effab2,WBTC/USDC CL100,WBTC,pool,Unichain,0.11,0.0,75822.231549,-7929.68
0x0162ccc58edeca41f4c640f164eec2d4f0effab2,WBTC/USDC CL100,USDC,pool,Unichain,91.77,97.08,0.999732,5.31
0xac7fc3e9b9d3377a90650fe62b858ff56bd841c9,USDT0/WETH CL100,USDT0,pool,Ink,235638.53,149114.31,0.999384,-86470.89
0xac7fc3e9b9d3377a90650fe62b858ff56bd841c9,USDT0/WETH CL100,WETH,pool,Ink,182.8,37.03,2404.427442,-350501.28
0xa304a3ed0df1f8d797b281c4f12bc3eefa49adaf,WETH/USDG CL100,WETH,pool,Ink,13.13,2.38,2404.427442,-25845.49
0xa304a3ed0df1f8d797b281c4f12bc3eefa49adaf,WETH/USDG CL100,USDG,pool,Ink,13154.58,3171.1,1.000006,-9983.54
0xdcf119db83668e8724474dc05f6507cc7430120f,USDT0/kBTC CL100,USDT0,pool,Ink,57863.66,110725.82,0.999384,52829.58
0xdcf119db83668e8724474dc05f6507cc7430120f,USDT0/kBTC CL100,KBTC,pool,Ink,4.48,4.29,75881.742048,-14340.54
0xedafd349bdac6baaefc13d06b3aa2db779534656,WETH/kBTC CL100,WETH,pool,Ink,125.39,101.83,2404.427442,-56643.92
0xedafd349bdac6baaefc13d06b3aa2db779534656,WETH/kBTC CL100,KBTC,pool,Ink,2.27,1.66,75881.742048,-46171.09
0xf26eb69af01e5f5ef9bb2d6d94b154e1ead5790c,USDT0/USDC.e sAMM,USDT0,pool,Ink,504.67,295.28,0.999384,-209.26
0xf26eb69af01e5f5ef9bb2d6d94b154e1ead5790c,USDT0/USDC.e sAMM,USDC.E,pool,Ink,449.03,268.88,0.999735,-180.1
0xad95f3af523d83f00679764dbefb07ddce15d1e1,kBTC/USDG CL100,KBTC,pool,Ink,0.3,0.19,75881.742048,-8114.04
0xad95f3af523d83f00679764dbefb07ddce15d1e1,kBTC/USDG CL100,USDG,pool,Ink,5184.46,11781.1,1.000006,6596.67
0xcc7c17cc1e74016fccd8ef413ca811595f76c67a,USDC/WETH CL100,USDC,pool,Ink,3559.16,11637.29,0.999732,8075.96
0xcc7c17cc1e74016fccd8ef413ca811595f76c67a,USDC/WETH CL100,WETH,pool,Ink,8.99,10.13,2404.427442,2720.59
0x62c92624b8583156fc9345a7a0ed8a1f6a9ad848,USDT0/USDC CL1,USDT0,pool,Ink,291119.91,793811.01,0.999384,502381.31
0x62c92624b8583156fc9345a7a0ed8a1f6a9ad848,USDT0/USDC CL1,USDC,pool,Ink,453394.35,208939.56,0.999732,-244389.29
0x67ce303f24b3841698891cece349072856b80a9c,WETH/USDC.e CL100,WETH,pool,Ink,22.52,6.68,2404.427442,-38083.07
0x67ce303f24b3841698891cece349072856b80a9c,WETH/USDC.e CL100,USDC.E,pool,Ink,6902.73,9769.52,0.999735,2866.03
0x31826a86cd62c6fa12a0a8441ec4c8bcfee8a453,USDT0/USDG CL1,USDT0,pool,Ink,21549.08,863888.37,0.999384,841820.19
0x31826a86cd62c6fa12a0a8441ec4c8bcfee8a453,USDT0/USDG CL1,USDG,pool,Ink,1812037.56,160917.96,1.000006,-1651129.73
0x317728bcce5d1c2895b71b01eebbb6989ae504ae,USDT0/USDC.e CL1,USDT0,pool,Ink,124090.8,58595.81,0.999384,-65454.63
0x317728bcce5d1c2895b71b01eebbb6989ae504ae,USDT0/USDC.e CL1,USDC.E,pool,Ink,24499.04,7574.7,0.999735,-16919.85
0x68ea2123ce20514127b07378773f617491e290cc,USDT0/GHO CL1,USDT0,pool,Ink,727882.33,507150.91,0.999384,-220595.39
0x68ea2123ce20514127b07378773f617491e290cc,USDT0/GHO CL1,GHO,pool,Ink,39782.25,388168.07,0.998605,347899.83
0x039fc1099c8f975ab0a0a8f7a68dbf8c18ba03d0,kBTC/SolvBTC sAMM,KBTC,pool,Ink,0.08,0.09,75881.742048,351.04
0x039fc1099c8f975ab0a0a8f7a68dbf8c18ba03d0,kBTC/SolvBTC sAMM,SOLVBTC,pool,Ink,0.1,0.1,75734.604709,-351.1
0xf77cc94af0592754054b376ea8e794f82da47e8d,WETH/wrsETH CL100,WETH,pool,Ink,0.01,0.0,2404.427442,-7.64
0xf77cc94af0592754054b376ea8e794f82da47e8d,WETH/wrsETH CL100,WRSETH,pool,Ink,0.0,0.0,2552.356813,-12.73
0xf9349c5af43d2abc2758e90cfb341722116fac38,WETH/weETH CL1,WETH,pool,Ink,956.55,994.21,2404.427442,90537.49
0xf9349c5af43d2abc2758e90cfb341722116fac38,WETH/weETH CL1,WEETH,pool,Ink,35.84,0.03,2655.038834,-95099.65
0x3170b9355f1057f457fedf4c8074946659dc92d2,kBTC/SolvBTC CL1,KBTC,pool,Ink,0.01,0.01,75881.742048,-26.27
0x3170b9355f1057f457fedf4c8074946659dc92d2,kBTC/SolvBTC CL1,SOLVBTC,pool,Ink,0.77,0.77,75734.604709,-53.29
0xa5f9ac27eaf4ac07afc5ceca3eaaa4581a3a04d6,WETH/wrsETH CL10,WETH,pool,Ink,0.0,0.0,2404.427442,1.29
0xa5f9ac27eaf4ac07afc5ceca3eaaa4581a3a04d6,WETH/wrsETH CL10,WRSETH,pool,Ink,0.0,0.0,2552.356813,-1.28
0x267ca3371985f369b6b7c20298acd1eec7351741,kBTC/SolvBTC CL200,KBTC,pool,Ink,4.93,0.0,75881.742048,-373958.89
0x267ca3371985f369b6b7c20298acd1eec7351741,kBTC/SolvBTC CL200,SOLVBTC,pool,Ink,7.47,0.0,75734.604709,-565688.77
0xaec7c5510482c3d260e3f867f2ce915819ef8362,USDC/USDC.e CL1,USDC,pool,Ink,233.51,134.89,0.999732,-98.59
0xaec7c5510482c3d260e3f867f2ce915819ef8362,USDC/USDC.e CL1,USDC.E,pool,Ink,318.28,569.68,0.999735,251.33
0x182fb127f9063738ea6b93103eaa29f272160d8d,WETH/wrsETH CL1,WETH,pool,Ink,0.05,0.08,2404.427442,59.03
0x182fb127f9063738ea6b93103eaa29f272160d8d,WETH/wrsETH CL1,WRSETH,pool,Ink,0.13,0.12,2552.356813,-42.88
0x1f7d7661b3f6b6dba7859e652ae6a124ee193123,USDT0/USDe CL1,USDT0,pool,Ink,0.0,0.44,0.999384,0.44
0x1f7d7661b3f6b6dba7859e652ae6a124ee193123,USDT0/USDe CL1,USDE,pool,Ink,0.0,0.39,0.999055,0.39
0x426ef1cd3170a7cc6b88316fae195f8682e9001c,USDT0/sUSDe CL10,USDT0,pool,Ink,0.0,0.24,0.999384,0.24
0x426ef1cd3170a7cc6b88316fae195f8682e9001c,USDT0/sUSDe CL10,SUSDE,pool,Ink,0.0,0.16,1.247514,0.2
0xa63ccedaa12469be90cba403176c7d134a23088d,USDT0/syrupUSDT CL10,USDT0,pool,Ink,0.0,247792.12,0.999384,247639.42
0xa63ccedaa12469be90cba403176c7d134a23088d,USDT0/syrupUSDT CL10,SYRUPUSDT,pool,Ink,0.0,574.28,0.0,0.0
0xc86dcd80d8a4d901b810637a3699b7eeade93914,sUSDe/USDe CL10,SUSDE,pool,Ink,0.0,0.06,1.247514,0.07
0xc86dcd80d8a4d901b810637a3699b7eeade93914,sUSDe/USDe CL10,USDE,pool,Ink,0.0,25.47,0.999055,25.44
0x72feffe6e649c2bcb6f9835fe99eb041efcdb4b1,ezETH/WETH CL1,EZETH,pool,Ink,0.0,0.0,2601.683476,-0.0
0x72feffe6e649c2bcb6f9835fe99eb041efcdb4b1,ezETH/WETH CL1,WETH,pool,Ink,0.18,0.0,2404.427442,-415.16
0x5441c4c5cc00d33bd9409f742d511ee01db1667b,WETH/USDC.e CL100,WETH,pool,Soneium,19.65,8.28,2404.427442,-27345.82
0x5441c4c5cc00d33bd9409f742d511ee01db1667b,WETH/USDC.e CL100,USDC.E,pool,Soneium,7741.45,10499.09,0.999735,2756.92
0xc6b8e3559feb231d7769c12872ffbe95c3e20ff7,WBTC/WETH CL50,WBTC,pool,Soneium,0.08,0.19,75822.231549,8269.2
0xc6b8e3559feb231d7769c12872ffbe95c3e20ff7,WBTC/WETH CL50,WETH,pool,Soneium,13.84,8.85,2404.427442,-11997.17
0x0030f9872caac56c1e81f699f58991718d6bee04,USDT0/USDC.e CL1,USDT0,pool,Soneium,7733.72,8502.01,0.999402,767.83
0x0030f9872caac56c1e81f699f58991718d6bee04,USDT0/USDC.e CL1,USDC.E,pool,Soneium,8312.75,5657.44,0.999735,-2654.6
0x378fbadc44055075cc190091a9e890badf848a52,USDT0/WETH CL100,USDT0,pool,Soneium,11713.88,8321.44,0.999402,-3390.41
0x378fbadc44055075cc190091a9e890badf848a52,USDT0/WETH CL100,WETH,pool,Soneium,14.46,4.36,2404.427442,-24298.37
0x3844fdd68fd40319f977e9d8f15e7f5d61131ec2,USDT/USDC.e CL1,USDT,pool,Soneium,8232.43,7981.24,0.999402,-251.04
0x3844fdd68fd40319f977e9d8f15e7f5d61131ec2,USDT/USDC.e CL1,USDC.E,pool,Soneium,5846.8,1101.13,0.999735,-4744.41
0xb86ba674b07d3a3e399baf58b322dd7c35b7c4ab,USDT/WETH CL100,USDT,pool,Soneium,67.96,114.73,0.999402,46.74
0xb86ba674b07d3a3e399baf58b322dd7c35b7c4ab,USDT/WETH CL100,WETH,pool,Soneium,0.06,0.04,2404.427442,-62.99
